return_id,order_id,customer_id,prediction_time,product_category,payment_method,return_reason,order_value,return_value,product_price,discount_pct,customer_account_age_days,orders_7d,orders_30d,orders_90d,returns_7d,returns_30d,returns_90d,return_rate_30d,return_rate_90d,refund_amount_30d,refund_amount_90d,hours_to_return,return_value_ratio,same_product_returns_90d,same_category_returns_90d,velocity_24h,velocity_7d,device_linked_accounts,address_linked_accounts,device_return_rate_90d,address_return_rate_90d,high_value_flag,abusive_return,merchant_loss
R000035,O000401,C09839,2025-01-07 18:39:54.962782477,fashion,upi,not_as_described,996.21,996.21,1133.05,12.08,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,18.665267439444445,1.0,0,0,0,1,1,1,0.0,0.0,0,0,88.86
R000042,O000480,C03294,2025-01-07 20:30:28.273610257,electronics,upi,not_as_described,9618.55,9618.55,10646.4,9.65,6,1,1,1,0,0,0,0.0,0.0,0.0,0.0,20.507853780555557,1.0,0,0,0,1,1,1,0.0,0.0,1,0,289.79
R000054,O000595,C09279,2025-01-07 20:35:24.405982764,fashion,cod,damaged,1965.64,1965.64,2094.2,6.14,6,2,2,2,0,0,0,0.0,0.0,0.0,0.0,44.59011277277778,1.0,0,0,1,2,1,1,0.0,0.0,0,0,147.01
R000019,O000241,C01687,2025-01-07 21:02:09.645696481,sports,cod,size_fit,1097.48,1097.48,1233.51,11.03,6,1,1,1,0,0,0,0.0,0.0,0.0,0.0,69.03601269333333,1.0,0,0,0,1,1,1,0.0,0.0,0,0,60.9
R000061,O000683,C02168,2025-01-07 21:51:09.557859927,grocery,cod,size_fit,230.55,230.55,268.11,14.01,6,2,2,2,0,0,0,0.0,0.0,0.0,0.0,45.852654960833334,1.0,0,0,0,2,1,1,0.0,0.0,0,0,59.49
R000073,O000826,C06727,2025-01-07 22:00:48.762779342,beauty,cod,changed_mind,1544.6,1544.6,1750.57,11.77,6,1,1,1,0,0,0,0.0,0.0,0.0,0.0,22.013545216388888,1.0,0,0,0,1,1,1,0.0,0.0,0,0,62.24
R000092,O001044,C00776,2025-01-08 00:19:28.257658136,electronics,card,changed_mind,5051.05,5051.05,5444.39,7.22,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,24.32451601611111,1.0,0,0,0,1,1,1,0.0,0.0,0,0,153.2
R000070,O000807,C06997,2025-01-08 03:04:20.843849272,fashion,upi,damaged,5512.82,5512.82,5810.78,5.13,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,51.07245662472222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,239.33
R000059,O000651,C02102,2025-01-08 03:05:35.584276484,home,wallet,damaged,3102.07,3102.07,3773.46,17.79,7,2,2,2,0,0,0,0.0,0.0,0.0,0.0,27.093217854444443,1.0,0,0,0,2,1,1,0.0,0.0,0,0,64.42
R000090,O001033,C05103,2025-01-08 04:11:51.041644630,home,wallet,size_fit,2742.59,2742.59,3317.53,17.33,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,28.197511567777777,1.0,0,0,0,1,1,1,0.0,0.0,0,0,203.78
R000052,O000581,C09046,2025-01-08 04:33:09.949328902,home,upi,not_as_described,2320.55,2320.55,2707.34,14.29,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,28.552763702222222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,29.05
R000028,O000310,C01334,2025-01-08 09:10:35.045824800,grocery,card,size_fit,424.2,424.2,526.19,19.38,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,33.17640161777778,1.0,0,0,0,1,1,1,0.0,0.0,0,0,45.22
R000053,O000585,C03547,2025-01-08 09:44:54.458491628,electronics,wallet,size_fit,4576.93,4576.93,5117.52,10.56,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,9.748460691944445,1.0,0,0,0,1,1,1,0.0,0.0,0,0,154.16
R000024,O000260,C03662,2025-01-08 10:12:46.326550129,fashion,cod,not_as_described,2576.43,2576.43,2929.94,12.07,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,34.21286848611111,1.0,0,0,0,1,1,1,0.0,0.0,0,0,134.5
R000087,O001012,C05574,2025-01-08 10:47:27.392346322,electronics,cod,changed_mind,3267.32,3267.32,4237.96,22.9,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,10.790942318333334,1.0,0,0,0,1,1,1,0.0,0.0,0,0,176.02
R000083,O000933,C08060,2025-01-08 12:12:10.402435814,home,upi,not_as_described,3358.9,3358.9,4415.04,23.92,1,2,2,2,0,0,0,0.0,0.0,0.0,0.0,12.20288956527778,1.0,0,0,0,2,1,1,0.0,0.0,0,0,74.61
R000043,O000493,C08689,2025-01-08 12:28:47.542662418,fashion,cod,wrong_item,3257.83,3257.83,4446.35,26.73,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,12.479872961666667,1.0,0,0,0,1,1,1,0.0,0.0,0,0,188.92
R000074,O000836,C07983,2025-01-08 12:53:28.620470169,home,upi,damaged,2882.17,2882.17,2965.84,2.82,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,60.89128346388889,1.0,0,0,0,1,1,1,0.0,0.0,0,0,168.93
R000031,O000321,C02887,2025-01-08 13:09:41.409251776,sports,card,changed_mind,2770.84,2770.84,3387.14,18.2,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,37.161502569722224,1.0,0,0,0,1,1,1,0.0,0.0,0,0,121.49
R000082,O000920,C02760,2025-01-08 13:20:30.395694696,fashion,card,damaged,2780.88,2780.88,3542.16,21.49,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,13.341776581666666,1.0,0,0,0,1,1,1,0.0,0.0,0,0,121.99
R000086,O001009,C08354,2025-01-08 17:33:53.239737650,fashion,wallet,changed_mind,1149.75,1149.75,1177.07,2.32,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,17.564788815833335,1.0,0,0,0,1,1,1,0.0,0.0,0,0,63.6
R000009,O000081,C01874,2025-01-08 19:50:45.581720031,grocery,upi,changed_mind,1062.71,1062.71,1143.65,7.08,7,0,1,1,0,0,0,0.0,0.0,0.0,0.0,91.84599492222223,1.0,0,0,0,0,1,1,0.0,0.0,0,0,65.74
R000015,O000201,C05030,2025-01-08 20:20:21.712483802,home,upi,not_as_described,4712.33,4712.33,6062.66,22.27,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,68.33936457861111,1.0,0,0,0,1,1,1,0.0,0.0,0,0,70.03
R000080,O000918,C00872,2025-01-08 21:11:13.803667173,home,upi,not_as_described,5827.64,5827.64,4190.66,3.38,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,21.187167685277778,1.0,0,0,0,1,1,1,0.0,0.0,0,0,99.29
R000000,O000003,C00371,2025-01-08 22:06:31.148428158,fashion,upi,changed_mind,1893.52,1893.52,2040.73,7.21,7,0,1,1,0,0,0,0.0,0.0,0.0,0.0,94.10865234111111,1.0,0,0,0,0,1,1,0.0,0.0,0,0,43.99
R000060,O000664,C06762,2025-01-08 22:35:10.699807891,home,upi,wrong_item,3780.92,3780.92,3944.95,4.16,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,22.586305501944445,1.0,0,0,0,1,1,1,0.0,0.0,0,0,124.97
R000016,O000205,C07900,2025-01-08 23:43:31.968074812,electronics,upi,damaged,7240.01,7240.01,8480.35,14.63,7,1,1,1,0,0,0,0.0,0.0,0.0,0.0,47.72554668722222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,225.39
R000026,O000297,C02168,2025-01-09 05:40:57.806018454,fashion,upi,not_as_described,1046.65,1046.65,1172.72,10.75,8,1,2,2,1,1,1,0.5,0.5,230.55,230.55,125.68272389388889,1.0,0,0,0,2,1,1,0.5,0.5,0,0,56.08
R000078,O000914,C09220,2025-01-09 06:24:02.210569488,electronics,card,not_as_described,1934.58,1934.58,1990.03,2.79,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,6.400614046944444,1.0,0,0,0,1,1,1,0.0,0.0,0,0,108.79
R000034,O000388,C02737,2025-01-09 09:21:15.415325233,grocery,cod,changed_mind,191.19,191.19,237.86,19.62,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,33.35428203472222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,15.93
R000107,O001176,C08326,2025-01-09 10:00:04.366464811,home,cod,wrong_item,7483.63,7483.63,9486.65,21.11,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,34.001212906666666,1.0,0,0,0,1,1,1,0.0,0.0,0,0,194.29
R000065,O000743,C09847,2025-01-09 10:14:08.786945961,grocery,card,damaged,362.47,362.47,532.74,31.96,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,58.23577415138889,1.0,0,0,0,1,1,1,0.0,0.0,0,0,3.6
R000075,O000838,C07331,2025-01-09 10:25:45.657936930,home,upi,damaged,3619.92,3619.92,4659.33,22.31,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,34.42934942666667,1.0,0,0,0,1,1,1,0.0,0.0,0,0,154.55
R000037,O000426,C02985,2025-01-09 11:30:31.536440715,grocery,upi,damaged,607.85,607.85,633.83,4.1,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,59.50876012222222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,41.46
R000130,O001414,C02820,2025-01-09 11:31:34.245846544,home,wallet,wrong_item,9536.07,9536.07,10449.39,8.74,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,11.526179401666667,1.0,0,0,0,1,1,1,0.0,0.0,1,0,302.3
R000104,O001169,C07435,2025-01-09 12:32:24.513586375,grocery,cod,size_fit,331.89,331.89,405.57,18.17,8,2,2,2,0,0,0,0.0,0.0,0.0,0.0,12.540142662777779,1.0,0,0,0,2,1,1,0.0,0.0,0,0,64.37
R000010,O000095,C05441,2025-01-09 13:35:36.653584754,fashion,upi,not_as_described,1721.95,1721.95,1798.45,4.25,8,0,1,1,0,0,0,0.0,0.0,0.0,0.0,85.59351488444445,1.0,0,0,0,0,1,1,0.0,0.0,0,0,97.47
R000077,O000896,C01618,2025-01-09 16:15:45.692815114,electronics,card,wrong_item,7008.16,7008.16,7236.86,3.16,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,16.262692448611112,1.0,0,0,0,1,3,3,0.0,0.0,0,0,437.3
R000068,O000776,C07317,2025-01-09 17:33:33.861299432,fashion,upi,not_as_described,1442.32,1442.32,1694.75,14.89,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,41.55940591638889,1.0,0,0,0,1,1,1,0.0,0.0,0,0,96.19
R000055,O000601,C03779,2025-01-09 20:47:21.432407877,electronics,cod,wrong_item,7162.28,7162.28,7436.53,3.69,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,20.78928677972222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,376.07
R000096,O001104,C00173,2025-01-09 23:48:15.520651221,home,card,not_as_described,889.17,889.17,950.9,6.49,8,1,1,1,0,0,0,0.0,0.0,0.0,0.0,23.804311291944444,1.0,0,0,0,1,1,1,0.0,0.0,0,0,3.36
R000030,O000320,C03476,2025-01-09 23:50:58.088512197,sports,cod,size_fit,4618.22,4618.22,5126.16,9.91,8,0,1,1,0,0,0,0.0,0.0,0.0,0.0,95.84946903111111,1.0,0,0,0,0,1,1,0.0,0.0,0,0,277.42
R000144,O001478,C06915,2025-01-10 02:00:38.485750719,beauty,card,changed_mind,2052.45,2052.45,2238.64,8.32,9,1,1,1,0,0,0,0.0,0.0,0.0,0.0,26.010690486111113,1.0,0,0,0,1,1,1,0.0,0.0,0,0,141.5
R000081,O000919,C03602,2025-01-10 02:05:28.402093035,electronics,upi,size_fit,15249.31,15249.31,16750.57,8.96,9,1,1,1,0,0,0,0.0,0.0,0.0,0.0,74.09122280361112,1.0,0,0,0,1,1,1,0.0,0.0,1,0,600.0
R000069,O000789,C09600,2025-01-10 02:32:43.237734518,sports,cod,not_as_described,2938.54,2938.54,3306.62,11.13,9,1,1,1,0,0,0,0.0,0.0,0.0,0.0,26.545343815,1.0,0,0,0,1,1,1,0.0,0.0,0,0,195.64
R000084,O000967,C03304,2025-01-10 02:54:25.841999818,electronics,card,damaged,14708.62,14708.62,16015.96,8.16,9,1,1,1,0,0,0,0.0,0.0,0.0,0.0,50.907178333055555,1.0,0,0,0,1,1,1,0.0,0.0,1,0,479.03
R000027,O000300,C01521,2025-01-10 03:44:11.437085749,electronics,upi,damaged,3500.25,3500.25,4645.82,24.66,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,123.73651030138889,1.0,0,0,0,0,1,1,0.0,0.0,0,0,109.21
R000072,O000825,C00468,2025-01-10 04:30:57.843620038,fashion,upi,not_as_described,3251.69,3251.69,3542.63,8.21,9,1,1,1,0,0,0,0.0,0.0,0.0,0.0,100.51606767222222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,43.56
R000071,O000819,C01240,2025-01-10 05:05:03.863395683,home,card,not_as_described,1285.11,1285.11,1550.16,17.1,9,1,1,1,0,0,0,0.0,0.0,0.0,0.0,29.08440649861111,1.0,0,0,0,1,1,1,0.0,0.0,0,0,83.15
R000058,O000634,C04092,2025-01-10 05:05:25.659591342,fashion,card,size_fit,465.91,465.91,685.2,32.0,9,1,1,1,0,0,0,0.0,0.0,0.0,0.0,77.0904609975,1.0,0,0,0,1,1,1,0.0,0.0,0,0,40.71
R000038,O000441,C01828,2025-01-10 08:36:54.058612626,beauty,card,not_as_described,1332.47,1332.47,1469.75,9.34,9,0,1,1,0,0,0,0.0,0.0,0.0,0.0,56.61501628111111,1.0,0,0,0,0,1,1,0.0,0.0,0,0,53.44
R000050,O000567,C05057,2025-01-10 10:13:06.942823647,fashion,cod,damaged,2094.85,2094.85,2519.8,16.86,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,106.21859522861112,1.0,0,0,0,0,1,1,0.0,0.0,0,0,83.82
R000089,O001018,C07127,2025-01-10 12:40:51.322497682,fashion,card,not_as_described,1307.06,1307.06,1422.6,8.12,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,36.68092291583333,1.0,0,0,0,1,1,1,0.0,0.0,0,0,114.01
R000114,O001234,C01448,2025-01-10 15:37:05.361361590,home,upi,not_as_described,3991.26,3991.26,4290.94,6.98,9,1,1,1,0,0,0,0.0,0.0,0.0,0.0,63.618155933611106,1.0,0,0,0,1,1,1,0.0,0.0,0,0,144.68
R000106,O001173,C02207,2025-01-10 19:04:16.843106751,beauty,card,wrong_item,2555.54,2555.54,2696.14,5.21,1,2,2,2,0,0,0,0.0,0.0,0.0,0.0,43.07134530722222,1.0,0,0,0,2,1,1,0.0,0.0,0,0,154.24
R000093,O001060,C06468,2025-01-10 20:18:54.693026186,fashion,card,size_fit,593.92,593.92,833.5,28.74,9,1,1,1,0,0,0,0.0,0.0,0.0,0.0,20.31519250722222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,76.35
R000115,O001294,C05969,2025-01-11 00:26:24.546996780,beauty,upi,size_fit,951.4,951.4,990.46,3.94,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,24.440151943333333,1.0,0,0,0,1,1,1,0.0,0.0,0,0,29.83
R000033,O000372,C09482,2025-01-11 00:55:16.973952254,sports,cod,not_as_described,528.39,528.39,767.84,31.18,10,0,1,1,0,0,0,0.0,0.0,0.0,0.0,72.92138165333333,1.0,0,0,0,0,1,1,0.0,0.0,0,0,65.87
R000017,O000220,C03923,2025-01-11 01:44:18.412013842,home,cod,size_fit,2984.22,2984.22,3744.28,20.3,10,0,1,1,0,0,0,0.0,0.0,0.0,0.0,97.73844778138889,1.0,0,0,0,0,1,1,0.0,0.0,0,0,194.04
R000145,O001481,C05412,2025-01-11 02:04:03.770317045,home,card,size_fit,7159.31,7159.31,9057.56,20.96,10,2,2,2,0,0,0,0.0,0.0,0.0,0.0,26.067713976944447,1.0,0,0,0,2,1,1,0.0,0.0,0,0,161.78
R000122,O001352,C04784,2025-01-11 02:22:44.801311573,sports,upi,wrong_item,4888.76,4888.76,6379.63,23.37,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,26.379111475277778,1.0,0,0,0,1,1,1,0.0,0.0,0,0,210.35
R000123,O001363,C02419,2025-01-11 05:55:09.565139834,fashion,card,not_as_described,544.47,544.47,575.83,5.44,1,1,1,1,0,0,0,0.0,0.0,0.0,0.0,53.91932364972222,1.0,0,0,0,1,1,1,0.0,0.0,0,0,38.12
R000088,O001017,C00627,2025-01-11 07:27:41.388399356,fashion,card,size_fit,390.47,390.47,412.8,5.41,10,2,2,2,0,0,0,0.0,0.0,0.0,0.0,55.461496777499995,1.0,0,0,0,2,1,1,0.0,0.0,0,0,45.71
R000152,O001563,C05428,2025-01-11 07:54:55.315390154,beauty,card,changed_mind,2381.56,2381.56,2984.41,20.2,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,31.915365386111112,1.0,0,0,0,1,1,1,0.0,0.0,0,0,179.81
R000094,O001061,C02225,2025-01-11 09:44:05.458648099,fashion,cod,changed_mind,1154.7,1154.7,1215.23,4.98,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,9.734849624444445,1.0,0,0,0,1,1,1,0.0,0.0,0,0,47.89
R000120,O001338,C09463,2025-01-11 13:00:30.258441233,grocery,card,wrong_item,488.73,488.73,502.77,2.79,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,37.0084051225,1.0,0,0,0,1,1,1,0.0,0.0,0,0,45.52
R000139,O001456,C07794,2025-01-11 14:03:55.638974574,electronics,upi,size_fit,6347.49,6347.49,7480.6,15.15,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,38.06545527055555,1.0,0,0,0,1,1,1,0.0,0.0,0,0,72.33
R000022,O000255,C01920,2025-01-11 14:36:07.814761657,home,upi,size_fit,1756.62,1756.62,1932.43,9.1,10,0,1,1,0,0,0,0.0,0.0,0.0,0.0,206.60217076694445,1.0,0,0,0,0,1,1,0.0,0.0,0,0,133.08
R000151,O001556,C00177,2025-01-11 14:48:31.741554981,home,upi,not_as_described,711.83,711.83,1100.15,35.3,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,14.808817098333334,1.0,0,0,0,1,1,1,0.0,0.0,0,0,0.52
R000128,O001404,C09137,2025-01-11 17:20:40.108590319,fashion,cod,changed_mind,3856.82,3856.82,4284.66,9.99,10,1,1,1,0,0,0,0.0,0.0,0.0,0.0,65.34447460833333,1.0,0,0,0,1,1,1,0.0,0.0,0,0,60.96
R000023,O000257,C09255,2025-01-11 17:29:07.823889830,fashion,upi,changed_mind,718.61,718.61,742.58,3.23,10,0,1,1,0,0,0,0.0,0.0,0.0,0.0,161.48550663583333,1.0,0,0,0,0,1,1,0.0,0.0,0,0,94.24
