return_id,item_received,item_condition_ok,refund_completed,merchant_loss,abuse_rule_triggered,abusive_return
R000085,1,1,1,381.54,none,0
R000086,1,1,1,63.6,none,0
R000087,1,1,1,176.02,none,0
R000088,1,1,1,45.71,none,0
R000089,1,1,1,114.01,none,0
R000090,1,1,1,203.78,none,0
R000091,1,1,1,134.0,none,0
R000092,1,1,1,153.2,none,0
R000093,1,1,1,76.35,none,0
R000094,1,1,1,47.89,none,0
R000095,1,1,1,314.95,none,0
R000096,1,1,1,3.36,none,0
R000097,1,1,1,204.41,none,0
R000098,1,1,1,415.61,none,0
R000099,1,1,1,98.47,none,0
R000100,1,1,1,312.63,none,0
R000101,1,0,1,108.83,none,0
R000102,1,1,1,64.29,none,0
R000103,1,1,1,62.0,none,0
R000104,1,1,1,64.37,none,0
R000105,1,1,1,103.2,none,0
R000106,1,1,1,154.24,none,0
R000107,1,1,1,194.29,none,0
R000108,1,1,1,151.4,none,0
R000109,1,0,1,63.89,none,0
R000110,1,1,1,193.25,none,0
R000111,1,1,1,600.0,none,0
R000112,1,1,1,71.87,none,0
R000113,1,1,1,115.46,none,0
R000114,1,1,1,144.68,none,0
R000115,1,1,1,29.83,none,0
R000116,1,1,1,308.09,none,0
R000117,1,1,1,125.99,none,0
R000118,1,1,1,528.64,none,0
R000119,1,1,1,102.78,none,0
R000120,1,1,1,45.52,none,0
R000121,1,1,1,146.57,none,0
R000122,1,1,1,210.35,none,0
R000123,1,1,1,38.12,none,0
R000124,1,1,1,98.54,none,0
R000125,1,1,1,255.67,none,0
R000126,1,1,1,600.0,none,0
R000127,1,1,1,48.73,none,0
R000128,1,1,1,60.96,none,0
R000129,1,1,1,86.28,none,0
R000130,1,1,1,302.3,none,0
R000131,1,1,1,600.0,none,0
R000132,1,1,1,600.0,none,0
R000133,1,1,1,63.8,none,0
R000134,1,1,1,98.91,none,0
R000135,1,1,1,146.1,none,0
R000136,1,1,1,61.41,none,0
R000137,1,1,1,44.05,none,0
R000138,1,1,1,231.99,none,0
R000139,1,1,1,72.33,none,0
R000140,1,1,1,47.58,none,0
R000141,1,1,1,72.77,none,0
R000142,1,1,1,142.74,none,0
R000143,1,1,1,207.56,none,0
R000144,1,1,1,141.5,none,0
R000145,1,1,1,161.78,none,0
R000146,1,1,1,157.86,none,0
R000147,1,0,1,349.85,none,0
R000148,1,1,1,301.79,none,0
R000149,0,1,1,60.34,none,0
R000150,0,1,1,39.33,none,0
R000151,1,1,1,0.52,none,0
R000152,1,1,1,179.81,none,0
R000153,1,1,1,83.5,none,0
R000154,1,1,1,74.41,none,0
R000155,1,0,1,34.89,none,0
R000156,0,1,1,1279.44,condition_mismatch,1
R000157,1,1,1,112.4,none,0
R000158,1,1,1,175.59,none,0
R000159,1,1,1,150.51,none,0
R000160,1,1,1,93.25,none,0
R000161,1,1,1,240.53,none,0
R000162,1,1,1,37.03,none,0
R000163,1,1,1,34.0,none,0
R000164,0,1,1,119.08,none,0
R000165,0,1,1,444.44,none,0
R000166,1,1,1,527.26,none,0
R000167,1,1,1,64.62,none,0
R000168,1,1,1,65.35,none,0
R000169,1,1,1,64.19,none,0
R000170,1,1,1,128.5,none,0
R000171,1,1,1,56.48,none,0
R000172,1,1,1,38.84,none,0
R000173,1,1,1,45.89,none,0
R000174,1,1,1,89.8,none,0
R000175,1,1,1,600.0,none,0
R000176,1,1,1,44.75,none,0
R000177,1,0,1,187.48,none,0
R000178,1,1,1,86.19,none,0
R000179,1,1,1,136.07,none,0
R000180,1,1,1,176.74,none,0
R000181,1,1,1,600.0,none,0
R000182,1,1,1,154.65,none,0
R000183,1,1,1,44.74,none,0
R000184,1,1,1,91.95,none,0
R000185,1,1,1,51.86,none,0
R000186,0,1,1,120.44,none,0
R000187,1,0,1,89.43,none,0
R000188,1,1,1,84.62,none,0
R000189,1,1,1,71.23,none,0
R000190,1,1,1,62.44,none,0
R000191,1,1,1,600.0,none,0
R000192,1,1,1,102.94,none,0
R000193,1,1,1,169.07,none,0
R000194,1,1,1,38.99,none,0
R000195,1,1,1,112.7,none,0
R000196,1,1,1,297.22,none,0
R000197,1,1,1,202.35,none,0
R000198,1,1,1,123.45,none,0
R000199,1,1,1,32.5,none,0
R000200,1,1,1,114.3,none,0
R000201,1,1,1,95.22,none,0
R000202,1,1,1,53.59,none,0
R000203,1,1,1,109.44,none,0
R000204,1,1,1,169.69,none,0
R000205,1,1,1,52.96,none,0
R000206,0,1,1,45.22,none,0
R000207,1,1,1,56.21,none,0
R000208,1,1,1,289.68,none,0
R000209,1,1,1,94.54,none,0
R000210,1,1,1,62.84,none,0
R000211,1,1,1,84.77,none,0
R000212,1,1,1,74.24,none,0
R000213,1,1,1,41.36,none,0
R000214,1,1,1,204.62,none,0
R000215,1,1,1,84.45,none,0
R000216,1,1,1,81.32,none,0
R000217,1,1,1,48.41,none,0
R000218,1,1,1,58.19,none,0
R000219,1,1,1,160.97,none,0
R000220,1,1,1,66.59,none,0
R000221,1,1,1,76.26,none,0
R000222,1,1,1,600.0,none,0
R000223,1,1,1,42.76,none,0
R000224,1,1,1,134.43,none,0
R000225,1,1,1,118.74,none,0
R000226,0,1,1,525.04,none,0
R000227,1,1,1,377.84,none,0
R000228,1,1,1,264.49,none,0
R000229,1,1,1,171.94,none,0
R000230,1,1,1,46.2,none,0
R000231,1,1,1,49.78,none,0
R000232,1,1,1,127.12,none,0
R000233,1,1,1,30.01,none,0
R000234,0,1,1,68.46,none,0
R000235,1,1,1,177.29,none,0
R000236,1,1,1,68.67,none,0
R000237,1,1,1,349.0,none,0
R000238,1,1,1,99.37,none,0
R000239,1,1,1,152.35,none,0
R000240,0,1,1,58.37,none,0
R000241,1,1,1,13.48,none,0
R000242,1,1,1,32.09,none,0
R000243,1,1,1,297.98,none,0
R000244,1,1,1,181.03,none,0
R000245,1,1,1,85.16,none,0
R000246,1,1,1,228.67,none,0
R000247,1,1,1,90.63,none,0
R000248,1,1,1,72.15,none,0
R000249,1,1,1,30.37,none,0
R000250,1,1,1,140.73,none,0
R000251,1,1,1,0.0,none,0
R000252,1,1,1,600.0,none,0
R000253,1,1,1,121.09,none,0
R000254,1,1,1,131.05,none,0
R000255,1,1,1,102.65,none,0
R000256,1,1,1,56.22,none,0
R000257,1,1,1,47.9,none,0
R000258,1,1,1,71.22,none,0
R000259,1,1,1,388.68,none,0
R000260,1,1,1,33.49,none,0
R000261,1,1,1,136.13,none,0
R000262,1,1,1,345.33,none,0
R000263,1,1,1,90.81,none,0
R000264,1,1,1,178.44,none,0
R000265,1,1,1,35.38,none,0
R000266,1,1,1,62.78,none,0
R000267,1,1,1,57.82,none,0
R000268,1,1,1,51.76,none,0
R000269,1,1,1,55.64,none,0
R000270,1,1,1,216.53,none,0
R000271,1,1,1,70.08,none,0
R000272,1,1,1,315.33,none,0
R000273,1,1,1,89.94,none,0
R000274,1,1,1,49.02,none,0
R000275,1,1,1,161.88,none,0
R000276,1,1,1,87.77,none,0
R000277,1,1,1,150.35,none,0
R000278,1,0,1,50.8,none,0
R000279,0,1,1,46.95,none,0
R000280,1,1,1,58.44,none,0
R000281,1,1,1,92.41,none,0
R000282,1,1,1,65.02,none,0
R000283,1,1,1,66.93,none,0
R000284,1,1,1,600.0,none,0
R000285,1,1,1,168.01,none,0
R000286,1,1,1,111.09,none,0
R000287,1,1,1,310.57,none,0
R000288,1,1,1,600.0,none,0
R000289,1,1,1,141.68,none,0
R000290,1,1,1,107.15,none,0
R000291,1,1,1,4793.66,coordinated_abuse,1
R000292,1,1,1,123.99,none,0
R000293,1,1,1,600.0,none,0
R000294,1,1,1,21.83,none,0
R000295,1,0,1,71.75,none,0
R000296,1,1,1,32.67,none,0
R000297,1,1,1,67.41,none,0
R000298,1,1,1,80.72,none,0
R000299,1,1,1,105.42,none,0
R000300,1,1,1,119.32,none,0
R000301,1,1,1,85.51,none,0
R000302,1,1,1,111.15,none,0
R000303,1,1,1,121.51,none,0
R000304,1,1,1,60.63,none,0
R000305,1,1,1,160.72,none,0
R000306,1,1,1,468.76,none,0
R000307,1,1,1,111.05,none,0
R000308,1,1,1,175.08,none,0
R000309,1,1,1,93.92,none,0
R000310,1,1,1,240.56,none,0
R000311,1,1,1,261.78,none,0
R000312,1,1,1,156.44,none,0
R000313,1,0,1,600.0,none,0
R000314,1,1,1,178.22,none,0
R000315,1,1,1,91.65,none,0
R000316,1,1,1,28.01,none,0
R000317,1,1,1,30.09,none,0
R000318,1,1,1,22.84,none,0
R000319,1,1,1,124.24,none,0
R000320,1,1,1,118.36,none,0
R000321,1,1,1,10.93,none,0
R000322,1,1,1,237.07,none,0
R000323,1,1,1,432.77,none,0
R000324,1,1,1,175.65,none,0
R000325,1,1,1,121.59,none,0
R000326,1,1,1,43.53,none,0
R000327,1,1,1,49.71,none,0
R000328,1,1,1,116.01,none,0
R000329,1,1,1,128.24,none,0
R000330,1,1,1,64.68,none,0
R000331,1,1,1,59.26,none,0
R000332,1,1,1,49.27,none,0
R000333,1,1,1,57.48,none,0
R000334,1,1,1,68.25,none,0
R000335,0,1,1,35.76,none,0
R000336,1,1,1,211.73,none,0
R000337,1,1,1,149.88,none,0
R000338,1,1,1,750.0,condition_mismatch,1
R000339,1,1,1,56.14,none,0
R000340,1,1,1,150.05,none,0
R000341,1,0,1,68.54,none,0
R000342,1,1,1,95.08,none,0
R000343,1,1,1,600.0,none,0
R000344,1,1,1,50.34,none,0
R000345,1,1,1,81.66,none,0
R000346,1,1,1,118.46,none,0
R000347,1,1,1,137.65,none,0
R000348,1,1,1,106.3,none,0
R000349,1,1,1,38.09,none,0
R000350,1,1,1,69.94,none,0
R000351,1,1,1,78.97,none,0
R000352,1,1,1,78.78,none,0
R000353,1,1,1,97.41,none,0
R000354,1,1,1,105.16,none,0
R000355,1,1,1,61.78,none,0
R000356,1,1,1,138.34,none,0
R000357,1,0,1,551.94,none,0
R000358,1,1,1,329.72,none,0
R000359,1,1,1,39.39,none,0
R000360,1,1,1,54.18,none,0
R000361,1,1,1,261.51,none,0
R000362,1,1,1,70.75,none,0
R000363,1,1,1,110.89,none,0
R000364,1,1,1,8.2,none,0
R000365,1,1,1,187.41,none,0
R000366,1,1,1,25.88,none,0
R000367,1,1,1,73.86,none,0
R000368,1,1,1,91.2,none,0
R000369,1,0,1,171.72,none,0
R000370,1,1,1,37.28,none,0
R000371,0,1,1,73.36,none,0
R000372,1,1,1,153.76,none,0
R000373,1,1,1,120.54,none,0
R000374,1,1,1,75.82,none,0
R000375,1,1,1,110.02,none,0
R000376,1,1,1,62.43,none,0
R000377,1,1,1,39.85,none,0
R000378,1,1,1,51.46,none,0
R000379,1,1,1,117.61,none,0
R000380,1,1,1,176.95,none,0
R000381,1,1,1,150.78,none,0
R000382,1,1,1,17.08,none,0
R000383,1,1,1,68.62,none,0
R000384,1,1,1,258.74,none,0
R000385,1,1,1,155.49,none,0
R000386,1,1,1,54.49,none,0
R000387,1,1,1,56.13,none,0
R000388,1,1,1,98.38,none,0
R000389,1,1,1,83.51,none,0
R000390,1,1,1,408.69,none,0
R000391,1,1,1,122.27,none,0
R000392,1,1,1,151.16,none,0
R000393,0,1,1,872.47,refund_abuse,1
R000394,1,1,1,48.56,none,0
R000395,1,1,1,142.67,none,0
R000396,1,1,1,61.93,none,0
R000397,1,1,1,138.76,none,0
R000398,1,1,1,104.07,none,0
R000399,1,1,1,103.06,none,0
R000400,1,1,1,44.48,none,0
R000401,1,1,1,206.75,none,0
R000402,1,1,1,27.1,none,0
R000403,0,1,1,343.48,none,0
R000404,1,0,1,2943.06,refund_abuse,1
R000405,1,1,1,252.8,none,0
R000406,1,1,1,64.52,none,0
R000407,0,0,1,1058.48,condition_mismatch,1
R000408,1,1,1,250.21,none,0
R000409,1,1,1,159.5,none,0
R000410,1,1,1,288.88,none,0
R000411,1,1,1,105.94,none,0
R000412,1,1,1,84.5,none,0
R000413,1,1,1,27.85,none,0
R000414,1,1,1,100.29,none,0
R000415,1,1,1,312.44,none,0
R000416,1,1,1,126.77,none,0
R000417,1,1,1,115.54,none,0
R000418,1,1,1,132.66,none,0
R000419,1,1,1,108.59,none,0
R000420,1,1,1,74.37,none,0
R000421,1,1,1,122.52,none,0
R000422,1,1,1,63.02,none,0
R000423,1,1,1,126.68,none,0
R000424,1,1,1,89.53,none,0
R000425,1,1,1,528.63,none,0
R000426,1,1,1,13.7,none,0
R000427,1,1,1,71.02,none,0
R000428,1,1,1,107.95,none,0
R000429,1,1,1,39.6,none,0
R000430,0,1,1,29.71,none,0
R000431,1,0,1,352.13,none,0
R000432,1,1,1,386.28,none,0
R000433,0,1,1,39.28,none,0
R000434,1,1,1,189.38,none,0
R000435,1,0,1,106.15,none,0
R000436,1,1,1,202.23,none,0
R000437,1,1,1,84.09,none,0
R000438,1,1,1,49.81,none,0
R000439,1,1,1,45.11,none,0
R000440,1,1,1,0.0,none,0
R000441,1,1,1,57.95,none,0
R000442,1,1,1,600.0,none,0
R000443,1,1,1,145.89,none,0
R000444,1,1,1,303.47,none,0
R000445,1,1,1,42.6,none,0
R000446,1,1,1,101.43,none,0
R000447,1,1,1,33.9,none,0
R000448,1,1,1,70.06,none,0
R000449,1,1,1,189.45,none,0
R000450,1,1,1,177.76,none,0
R000451,1,1,1,50.1,none,0
R000452,1,1,1,152.44,none,0
R000453,1,1,1,71.94,none,0
R000454,1,1,1,29.39,none,0
R000455,1,1,1,99.95,none,0
R000456,1,1,1,121.6,none,0
R000457,1,1,1,75.62,none,0
R000458,1,1,1,70.82,none,0
R000459,1,1,1,117.62,none,0
R000460,0,1,1,80.69,none,0
R000461,1,1,1,54.79,none,0
R000462,1,1,1,295.22,none,0
R000463,1,1,1,116.53,none,0
R000464,1,1,1,61.35,none,0
R000465,1,1,1,58.67,none,0
R000466,1,1,1,120.18,none,0
R000467,1,1,1,600.0,none,0
R000468,1,1,1,138.94,none,0
R000469,1,1,1,184.48,none,0
R000470,1,1,1,163.3,none,0
R000471,1,1,1,65.46,none,0
R000472,1,1,1,107.48,none,0
R000473,1,1,1,237.21,none,0
R000474,1,1,1,310.93,none,0
R000475,1,1,1,34.88,none,0
R000476,1,1,1,133.56,none,0
R000477,1,1,1,224.33,none,0
R000478,1,1,1,159.3,none,0
R000479,1,1,1,113.99,none,0
R000480,1,1,1,66.7,none,0
R000481,1,1,1,61.41,none,0
R000482,1,0,1,2.28,none,0
R000483,1,1,1,50.18,none,0
R000484,1,1,1,0.0,none,0
R000485,1,1,1,208.64,none,0
R000486,1,1,1,76.09,none,0
R000487,1,1,1,600.0,none,0
R000488,1,1,1,132.93,none,0
R000489,1,1,1,40.48,none,0
R000490,1,1,1,70.09,none,0
R000491,1,1,1,90.0,none,0
R000492,1,1,1,85.77,none,0
R000493,1,1,1,67.43,none,0
R000494,1,1,1,195.62,none,0
R000495,1,1,1,67.98,none,0
R000496,1,1,1,258.03,none,0
R000497,1,1,1,168.7,none,0
R000498,1,1,1,132.32,none,0
R000499,1,1,1,233.95,none,0
R000500,1,1,1,86.85,none,0
R000501,1,1,1,408.92,none,0
R000502,1,1,1,46.96,none,0
R000503,1,1,1,3072.39,condition_mismatch,1
R000504,1,1,1,100.51,none,0
R000505,1,1,1,36.48,none,0
R000506,1,0,1,81.21,none,0
R000507,1,1,1,135.27,none,0
R000508,1,1,1,85.18,none,0
R000509,1,1,1,104.58,none,0
R000510,1,1,1,41.0,none,0
R000511,1,1,1,68.12,none,0
R000512,1,1,1,92.49,none,0
R000513,1,1,1,86.42,none,0
R000514,1,1,1,184.03,none,0
R000515,1,1,1,300.55,none,0
R000516,1,1,1,96.4,none,0
R000517,1,1,1,187.55,none,0
R000518,1,1,1,214.19,none,0
R000519,1,1,1,99.45,none,0
R000520,1,1,1,11.75,none,0
R000521,1,1,1,82.53,none,0
R000522,1,1,1,96.15,none,0
R000523,1,1,1,187.59,none,0
R000524,1,1,1,71.89,none,0
R000525,1,1,1,150.1,none,0
R000526,1,1,1,116.23,none,0
R000527,1,1,1,76.27,none,0
R000528,1,1,1,123.89,none,0
R000529,1,0,1,600.0,none,0
R000530,1,1,1,176.49,none,0
R000531,1,1,1,112.51,none,0
R000532,1,1,1,36.79,none,0
R000533,1,1,1,42.92,none,0
R000534,1,1,1,121.51,none,0
R000535,1,1,1,67.17,none,0
R000536,1,1,1,48.96,none,0
R000537,1,1,1,63.21,none,0
R000538,1,1,1,29.03,none,0
R000539,1,1,1,57.81,none,0
R000540,1,1,1,133.5,none,0
R000541,1,1,1,40.88,none,0
R000542,1,0,1,69.28,none,0
R000543,1,1,1,78.98,none,0
R000544,1,1,1,216.65,none,0
R000545,1,1,1,69.12,none,0
R000546,1,1,1,491.74,none,0
R000547,1,1,1,480.8,none,0
R000548,1,1,1,360.79,none,0
R000549,1,1,1,94.45,none,0
R000550,1,1,1,29.82,none,0
R000551,1,1,1,277.89,none,0
R000552,1,1,1,170.87,none,0
R000553,1,1,1,69.87,none,0
R000554,1,0,1,18.0,none,0
R000555,1,1,1,38.85,none,0
R000556,1,1,1,206.44,none,0
R000557,1,1,1,37.16,none,0
R000558,1,1,1,320.93,none,0
R000559,1,1,1,42.59,none,0
R000560,1,1,1,120.58,none,0
R000561,1,1,1,95.68,none,0
R000562,1,1,1,60.83,none,0
R000563,1,1,1,50.97,none,0
R000564,1,1,1,123.54,none,0
R000565,1,1,1,57.66,none,0
R000566,1,1,1,1302.67,condition_mismatch,1
R000567,1,1,1,369.65,none,0
R000568,1,1,1,0.0,none,0
R000569,1,1,1,291.88,none,0
R000570,1,1,1,254.78,none,0
R000571,1,1,1,23.54,none,0
R000572,1,1,1,51.72,none,0
R000573,1,1,1,127.19,none,0
R000574,1,1,1,219.97,none,0
R000575,1,1,1,51.17,none,0
R000576,1,1,1,10.68,none,0
R000577,1,1,1,111.12,none,0
R000578,1,1,1,67.27,none,0
R000579,1,1,1,211.16,none,0
R000580,1,1,1,123.21,none,0
R000581,1,1,1,69.38,none,0
R000582,1,1,1,115.07,none,0
R000583,1,1,1,105.48,none,0
R000584,1,1,1,62.73,none,0
R000585,0,0,1,11147.39,condition_mismatch,1
R000586,1,1,1,124.5,none,0
R000587,1,1,1,68.59,none,0
R000588,0,1,1,76.7,none,0
R000589,1,1,1,43.61,none,0
R000590,1,1,1,47.43,none,0
R000591,1,1,1,163.39,none,0
R000592,1,1,1,95.43,none,0
R000593,1,1,1,85.72,none,0
R000594,1,1,1,81.19,none,0
R000595,1,1,1,182.65,none,0
R000596,1,1,1,222.66,none,0
R000597,1,1,1,600.0,none,0
R000598,1,1,1,161.76,none,0
R000599,1,1,1,46.98,none,0
R000600,1,1,1,135.81,none,0
R000601,1,1,1,68.83,none,0
R000602,1,1,1,41.49,none,0
R000603,1,1,1,88.86,none,0
R000604,1,1,1,132.68,none,0
R000605,1,1,1,7.76,none,0
R000606,1,1,1,309.31,none,0
R000607,1,1,1,106.82,none,0
R000608,1,1,1,87.35,none,0
R000609,1,1,1,43.47,none,0
R000610,1,1,1,58.78,none,0
R000611,1,1,1,38.69,none,0
R000612,1,1,1,64.27,none,0
R000613,1,1,1,263.47,none,0
R000614,1,1,1,111.56,none,0
R000615,1,1,1,82.19,none,0
R000616,1,1,1,172.14,none,0
R000617,1,1,1,61.0,none,0
R000618,1,1,1,161.41,none,0
R000619,1,1,1,128.37,none,0
R000620,1,1,1,118.51,none,0
R000621,1,1,1,83.83,none,0
R000622,1,1,1,118.53,none,0
R000623,1,1,1,110.94,none,0
R000624,1,1,1,38.34,none,0
R000625,1,1,1,365.31,none,0
R000626,1,1,1,462.58,none,0
R000627,1,1,1,59.86,none,0
R000628,1,1,1,600.0,none,0
R000629,1,1,1,24.14,none,0
R000630,1,1,1,103.05,none,0
R000631,1,1,1,81.95,none,0
R000632,1,1,1,139.84,none,0
R000633,1,1,1,96.68,none,0
R000634,1,1,1,37.16,none,0
R000635,1,1,1,63.6,none,0
R000636,1,1,1,26.63,none,0
R000637,1,1,1,55.86,none,0
R000638,1,1,1,2075.66,condition_mismatch,1
R000639,1,1,1,150.08,none,0
R000640,1,1,1,147.08,none,0
R000641,0,1,1,185.82,none,0
R000642,1,1,1,120.26,none,0
R000643,0,1,1,90.9,none,0
R000644,1,0,1,289.5,none,0
R000645,1,0,1,2216.88,refund_abuse,1
R000646,1,1,1,143.89,none,0
R000647,1,1,1,62.15,none,0
R000648,1,1,1,380.57,none,0
R000649,1,1,1,83.46,none,0
R000650,1,1,1,26.13,none,0
R000651,1,1,1,31.58,none,0
R000652,0,1,1,70.54,none,0
R000653,1,0,1,412.06,none,0
R000654,1,1,1,104.16,none,0
R000655,1,1,1,168.66,none,0
R000656,1,1,1,83.85,none,0
R000657,1,1,1,466.26,none,0
R000658,1,1,1,137.44,none,0
R000659,1,1,1,71.33,none,0
R000660,1,1,1,399.63,none,0
R000661,1,1,1,201.39,none,0
R000662,1,1,1,434.97,none,0
R000663,1,1,1,177.5,none,0
R000664,1,1,1,45.29,none,0
R000665,1,1,1,90.15,none,0
R000666,1,1,1,145.37,none,0
R000667,1,1,1,98.66,none,0
R000668,1,1,1,107.63,none,0
R000669,1,1,1,405.37,none,0
R000670,1,1,1,536.19,none,0
R000671,1,1,1,543.68,none,0
R000672,1,1,1,19.91,none,0
R000673,1,1,1,69.07,none,0
R000674,1,1,1,164.08,none,0
R000675,1,1,1,166.23,none,0
R000676,1,1,1,107.07,none,0
R000677,1,1,1,58.0,none,0
R000678,1,0,1,0.0,none,0
R000679,1,1,1,57.4,none,0
R000680,1,1,1,116.61,none,0
R000681,1,1,1,67.41,none,0
R000682,1,1,1,119.36,none,0
R000683,1,1,1,116.45,none,0
R000684,1,1,1,117.78,none,0
R000685,1,1,1,76.61,none,0
R000686,1,1,1,35.08,none,0
R000687,1,1,1,50.85,none,0
R000688,1,1,1,223.23,none,0
R000689,1,1,1,45.42,none,0
R000690,1,1,1,166.23,none,0
R000691,1,1,1,20.83,none,0
R000692,1,1,1,30.69,none,0
R000693,1,1,1,417.2,none,0
R000694,1,1,1,82.23,none,0
R000695,1,1,1,108.58,none,0
R000696,1,1,1,39.05,none,0
R000697,1,1,1,435.49,none,0
R000698,1,1,1,89.71,none,0
R000699,1,1,1,261.09,none,0
R000700,1,1,1,177.14,none,0
R000701,1,1,1,62.49,none,0
R000702,1,1,1,128.0,none,0
R000703,1,1,1,88.37,none,0
R000704,1,1,1,179.31,none,0
R000705,1,1,1,125.09,none,0
R000706,1,1,1,226.26,none,0
R000707,1,1,1,113.73,none,0
R000708,1,1,1,36.6,none,0
R000709,1,1,1,64.08,none,0
R000710,1,1,1,56.93,none,0
R000711,0,0,1,3401.95,coordinated_abuse,1
R000712,1,1,1,85.7,none,0
R000713,1,1,1,111.46,none,0
R000714,1,1,1,67.28,none,0
R000715,1,1,1,200.51,none,0
R000716,1,1,1,173.76,none,0
R000717,1,1,1,83.27,none,0
R000718,1,0,1,48.76,none,0
R000719,1,1,1,135.62,none,0
R000720,1,1,1,153.7,none,0
R000721,1,1,1,46.86,none,0
R000722,1,1,1,131.18,none,0
R000723,1,1,1,17.61,none,0
R000724,1,1,1,108.0,none,0
R000725,1,1,1,50.45,none,0
R000726,0,1,1,58.72,none,0
R000727,1,1,1,145.27,none,0
R000728,1,1,1,97.19,none,0
R000729,1,1,1,229.05,none,0
R000730,1,1,1,53.05,none,0
R000731,1,1,1,9470.16,refund_abuse,1
R000732,1,1,1,128.05,none,0
R000733,0,1,1,112.37,none,0
R000734,1,1,1,92.07,none,0
R000735,1,1,1,119.02,none,0
R000736,1,1,1,50.26,none,0
R000737,1,1,1,86.73,none,0
R000738,1,1,1,193.01,none,0
R000739,1,1,1,107.9,none,0
R000740,1,1,1,108.52,none,0
R000741,1,1,1,41.43,none,0
R000742,1,1,1,21.87,none,0
R000743,1,1,1,391.81,none,0
R000744,1,1,1,66.34,none,0
R000745,1,1,1,148.6,none,0
R000746,1,1,1,113.18,none,0
R000747,1,1,1,142.47,none,0
R000748,1,1,1,46.77,none,0
R000749,1,1,1,35.97,none,0
R000750,1,1,1,140.24,none,0
R000751,1,1,1,173.38,none,0
R000752,1,1,1,71.63,none,0
R000753,1,1,1,231.38,none,0
R000754,1,1,1,183.42,none,0
R000755,1,1,1,127.18,none,0
R000756,1,1,1,600.0,none,0
R000757,1,1,1,37.08,none,0
R000758,1,1,1,76.32,none,0
R000759,1,1,1,198.53,none,0
R000760,1,1,1,83.58,none,0
R000761,1,1,1,98.78,none,0
R000762,1,1,1,267.6,none,0
R000763,1,1,1,255.21,none,0
R000764,1,1,1,64.78,none,0
R000765,1,1,1,86.67,none,0
R000766,1,1,1,31.67,none,0
