customer_id,account_created_at,home_region,latent_type,device_id,address_id,payment_fingerprint
C00050,2025-01-01,N,normal,D00050,A00050,P00050
C00051,2025-01-01,N,normal,D00051,A00051,P00051
C00052,2025-01-01,E,normal,D00052,A00052,P00052
C00053,2025-01-01,S,normal,D00053,A00053,P00053
C00054,2025-05-19,W,normal,D00054,A00054,P00054
C00055,2025-03-10,N,normal,D00055,A00055,P00055
C00056,2025-01-01,N,normal,D00056,A00056,P00056
C00057,2025-01-01,S,normal,D00057,A00057,P00057
C00058,2025-01-01,W,normal,D00058,A00058,P00058
C00059,2025-01-01,NE,normal,D00059,A00059,P00059
C00060,2025-01-01,W,normal,D00060,A00060,P00060
C00061,2025-02-05,S,normal,D00061,A00061,P00061
C00062,2025-01-01,W,normal,D00062,A00062,P00062
C00063,2025-01-01,N,normal,D00063,A00063,P00063
C00064,2025-01-01,E,normal,D00064,A00064,P00064
C00065,2025-01-01,W,normal,D00065,A00065,P00065
C00066,2025-01-01,S,normal,D00066,A00066,P00066
C00067,2025-01-01,NE,normal,D00067,A00067,P00067
C00068,2025-01-01,N,normal,D00068,A00068,P00068
C00069,2025-01-01,N,normal,D00069,A00069,P00069
C00070,2025-01-01,S,normal,D00070,A00070,P00070
C00071,2025-01-01,W,normal,D00071,A00071,P00071
C00072,2025-01-01,S,normal,D00072,A00072,P00072
C00073,2025-01-01,W,normal,D00073,A00073,P00073
C00074,2025-01-01,N,normal,D00074,A00074,P00074
C00075,2025-01-01,W,normal,D00075,A00075,P00075
C00076,2025-01-01,S,normal,D00076,A00076,P00076
C00077,2025-04-02,N,normal,D00077,A00077,P00077
C00078,2025-03-02,E,normal,D00078,A00078,P00078
C00079,2025-01-01,E,normal,D00079,A00079,P00079
C00080,2025-12-12,S,normal,D00080,A00080,P00080
C00081,2025-01-01,N,normal,D00081,A00081,P00081
C00082,2025-01-01,N,normal,D00082,A00082,P00082
C00083,2025-06-18,NE,normal,D00083,A00083,P00083
C00084,2025-01-01,E,normal,D00084,A00084,P00084
C00085,2025-01-01,W,normal,D00085,A00085,P00085
C00086,2025-01-01,E,normal,D00086,A00086,P00086
C00087,2025-06-09,W,normal,D00087,A00087,P00087
C00088,2025-01-01,N,normal,D00088,A00088,P00088
C00089,2025-01-01,S,normal,D00089,A00089,P00089
C00090,2025-01-01,E,normal,D00090,A00090,P00090
C00091,2025-01-01,N,normal,D00091,A00091,P00091
C00092,2025-01-01,N,normal,D00092,A00092,P00092
C00093,2025-01-01,E,normal,D00093,A00093,P00093
C00094,2025-01-01,W,normal,D00094,A00094,P00094
C00095,2025-04-05,E,normal,D00095,A00095,P00095
C00096,2025-01-01,N,normal,D00096,A00096,P00096
C00097,2025-04-10,NE,normal,D00097,A00097,P00097
C00098,2025-01-01,N,normal,D00098,A00098,P00098
C00099,2025-01-01,N,frequent_legit,D00099,A00099,P00099
C00100,2025-01-08,NE,frequent_legit,D00100,A00100,P00100
C00101,2025-01-01,W,normal,D00101,A00101,P00101
C00102,2025-01-01,W,normal,D00102,A00102,P00102
C00103,2025-01-01,W,frequent_legit,D00103,A00103,P00103
C00104,2025-01-01,E,normal,D00104,A00104,P00104
C00105,2025-01-01,S,normal,D00105,A00105,P00105
C00106,2025-01-01,S,normal,D00106,A00106,P00106
C00107,2025-08-02,NE,normal,D00107,A00107,P00107
C00108,2025-01-01,W,normal,D00108,A00108,P00108
C00109,2025-01-01,S,frequent_legit,D00109,A00109,P00109
C00110,2025-01-01,S,normal,D00110,A00110,P00110
C00111,2025-10-11,S,normal,D00111,A00111,P00111
C00112,2025-01-01,S,normal,D00112,A00112,P00112
C00113,2025-01-01,W,normal,D00113,A00113,P00113
C00114,2025-01-01,N,normal,D00114,A00114,P00114
C00115,2025-01-01,S,normal,D00115,A00115,P00115
C00116,2025-05-28,NE,normal,D00116,A00116,P00116
C00117,2025-01-01,S,normal,D00117,A00117,P00117
C00118,2025-01-01,S,normal,D00118,A00118,P00118
C00119,2025-01-01,S,normal,D00119,A00119,P00119
C00120,2025-01-01,N,normal,D00120,A00120,P00120
C00121,2025-01-01,N,normal,D00121,A00121,P00121
C00122,2025-04-02,N,normal,D00122,A00122,P00122
C00123,2025-09-29,N,normal,D00123,A00123,P00123
C00124,2025-01-01,N,normal,D00124,A00124,P00124
C00125,2025-12-11,S,normal,D00125,A00125,P00125
C00126,2025-01-01,N,normal,D00126,A00126,P00126
C00127,2025-11-10,NE,normal,D00127,A00127,P00127
C00128,2025-01-01,N,normal,D00128,A00128,P00128
C00129,2025-01-01,S,normal,D00129,A00129,P00129
C00130,2025-01-01,W,normal,D00130,A00130,P00130
C00131,2025-01-01,N,frequent_legit,D00131,A00131,P00131
C00132,2025-01-01,S,normal,D00132,A00132,P00132
C00133,2025-01-01,W,normal,D00133,A00133,P00133
C00134,2025-01-01,S,normal,D00134,A00134,P00134
C00135,2025-01-01,N,normal,D00135,A00135,P00135
C00136,2025-01-01,W,frequent_legit,D00136,A00136,P00136
C00137,2025-01-01,E,normal,D00137,A00137,P00137
C00138,2025-01-01,S,normal,D00138,A00138,P00138
C00139,2025-10-03,N,normal,D00139,A00139,P00139
C00140,2025-01-01,N,normal,D00140,A00140,P00140
C00141,2025-01-01,W,normal,D00141,A00141,P00141
C00142,2025-01-01,S,frequent_legit,D00142,A00142,P00142
C00143,2025-01-01,N,normal,D00143,A00143,P00143
C00144,2025-01-01,S,normal,D00144,A00144,P00144
C00145,2025-01-01,W,normal,D00145,A00145,P00145
C00146,2025-01-01,N,normal,D00146,A00146,P00146
C00147,2025-01-01,N,normal,D00147,A00147,P00147
C00148,2025-01-01,S,normal,D00148,A00148,P00148
C00149,2025-03-20,E,normal,D00149,A00149,P00149
C00150,2025-01-01,S,normal,D00150,A00150,P00150
C00151,2025-01-01,W,normal,D00151,A00151,P00151
C00152,2025-01-01,N,normal,D00152,A00152,P00152
C00153,2025-01-01,S,normal,D00153,A00153,P00153
C00154,2025-01-01,S,normal,D00154,A00154,P00154
C00155,2025-01-01,S,normal,D00155,A00155,P00155
C00156,2025-01-01,S,normal,D00156,A00156,P00156
C00157,2025-10-03,W,normal,D00157,A00157,P00157
C00158,2025-01-01,S,normal,D00158,A00158,P00158
C00159,2025-08-21,W,normal,D00159,A00159,P00159
C00160,2025-01-01,N,normal,D00160,A00160,P00160
C00161,2025-01-01,E,frequent_legit,D00161,A00161,P00161
C00162,2025-01-01,S,normal,D00162,A00162,P00162
C00163,2025-01-01,S,normal,D00163,A00163,P00163
C00164,2025-03-07,N,normal,D00164,A00164,P00164
C00165,2025-01-01,NE,normal,D00165,A00165,P00165
C00166,2025-10-12,W,normal,D00166,A00166,P00166
C00167,2025-01-01,W,normal,D00167,A00167,P00167
C00168,2025-05-11,W,normal,D00168,A00168,P00168
C00169,2025-01-01,N,frequent_legit,D00169,A00169,P00169
C00170,2025-01-01,S,normal,D00170,A00170,P00170
C00171,2025-01-01,S,normal,D00171,A00171,P00171
C00172,2025-01-01,W,normal,D00172,A00172,P00172
C00173,2025-01-01,N,frequent_legit,D00173,A00173,P00173
C00174,2025-01-01,N,normal,D00174,A00174,P00174
C00175,2025-02-27,E,normal,D00175,A00175,P00175
C00176,2025-01-01,N,normal,D00176,A00176,P00176
C00177,2025-01-01,W,coordinated,DCO0000,ACO0000,PCO0000
C00178,2025-01-01,N,normal,D00178,A00178,P00178
C00179,2025-01-01,E,normal,D00179,A00179,P00179
C00180,2025-01-01,W,normal,D00180,A00180,P00180
C00181,2025-01-01,E,normal,D00181,A00181,P00181
C00182,2025-01-01,N,normal,D00182,A00182,P00182
C00183,2025-01-01,N,normal,D00183,A00183,P00183
C00184,2025-01-01,N,normal,D00184,A00184,P00184
C00185,2025-01-01,N,normal,D00185,A00185,P00185
C00186,2025-12-01,E,normal,D00186,A00186,P00186
C00187,2025-11-19,S,normal,D00187,A00187,P00187
C00188,2025-12-17,N,normal,D00188,A00188,P00188
C00189,2025-02-08,N,normal,D00189,A00189,P00189
C00190,2025-01-01,NE,frequent_legit,D00190,A00190,P00190
C00191,2025-09-19,N,normal,D00191,A00191,P00191
C00192,2025-03-06,S,normal,D00192,A00192,P00192
C00193,2025-01-01,S,normal,D00193,A00193,P00193
C00194,2025-01-01,N,normal,D00194,A00194,P00194
C00195,2025-01-01,W,normal,D00195,A00195,P00195
C00196,2025-01-01,N,normal,D00196,A00196,P00196
C00197,2025-05-21,E,normal,D00197,A00197,P00197
C00198,2025-10-22,E,normal,D00198,A00198,P00198
C00199,2025-01-01,W,normal,D00199,A00199,P00199
C00200,2025-01-01,E,normal,D00200,A00200,P00200
C00201,2025-08-02,W,abusive,D00201,A00201,P00201
C00202,2025-01-01,S,normal,D00202,A00202,P00202
C00203,2025-01-01,S,normal,D00203,A00203,P00203
C00204,2025-01-01,E,normal,D00204,A00204,P00204
C00205,2025-01-01,E,normal,D00205,A00205,P00205
C00206,2025-01-01,S,normal,D00206,A00206,P00206
C00207,2025-01-01,N,normal,D00207,A00207,P00207
C00208,2025-01-01,N,normal,D00208,A00208,P00208
C00209,2025-01-01,S,normal,D00209,A00209,P00209
C00210,2025-11-06,N,normal,D00210,A00210,P00210
C00211,2025-01-01,S,normal,D00211,A00211,P00211
C00212,2025-01-01,N,normal,D00212,A00212,P00212
C00213,2025-01-01,E,normal,D00213,A00213,P00213
C00214,2025-01-01,E,normal,D00214,A00214,P00214
C00215,2025-01-01,E,normal,D00215,A00215,P00215
C00216,2025-01-01,E,normal,D00216,A00216,P00216
C00217,2025-01-01,N,normal,D00217,A00217,P00217
C00218,2025-01-01,N,frequent_legit,D00218,A00218,P00218
C00219,2025-11-29,E,normal,D00219,A00219,P00219
C00220,2025-01-01,W,normal,D00220,A00220,P00220
C00221,2025-01-01,E,normal,D00221,A00221,P00221
C00222,2025-01-01,E,normal,D00222,A00222,P00222
C00223,2025-01-01,E,frequent_legit,D00223,A00223,P00223
C00224,2025-01-01,W,normal,D00224,A00224,P00224
C00225,2025-01-01,W,frequent_legit,D00225,A00225,P00225
C00226,2025-01-01,W,normal,D00226,A00226,P00226
C00227,2025-01-01,N,normal,D00227,A00227,P00227
C00228,2025-01-01,N,normal,D00228,A00228,P00228
C00229,2025-01-01,S,normal,D00229,A00229,P00229
C00230,2025-09-20,S,normal,D00230,A00230,P00230
C00231,2025-01-01,W,normal,D00231,A00231,P00231
C00232,2025-01-01,S,frequent_legit,D00232,A00232,P00232
C00233,2025-01-01,N,normal,D00233,A00233,P00233
C00234,2025-01-01,W,frequent_legit,D00234,A00234,P00234
C00235,2025-08-26,N,normal,D00235,A00235,P00235
C00236,2025-01-01,W,normal,D00236,A00236,P00236
C00237,2025-01-01,N,normal,D00237,A00237,P00237
C00238,2025-01-01,S,normal,D00238,A00238,P00238
C00239,2025-03-26,S,normal,D00239,A00239,P00239
C00240,2025-01-01,S,normal,D00240,A00240,P00240
C00241,2025-01-01,N,normal,D00241,A00241,P00241
C00242,2025-01-01,N,normal,D00242,A00242,P00242
C00243,2025-01-01,S,normal,D00243,A00243,P00243
C00244,2025-01-01,S,normal,D00244,A00244,P00244
C00245,2025-01-01,W,normal,D00245,A00245,P00245
C00246,2025-01-01,N,normal,D00246,A00246,P00246
C00247,2025-01-01,S,normal,D00247,A00247,P00247
C00248,2025-01-01,N,normal,D00248,A00248,P00248
C00249,2025-01-01,W,normal,D00249,A00249,P00249
C00250,2025-01-01,W,normal,D00250,A00250,P00250
C00251,2025-01-01,NE,normal,D00251,A00251,P00251
C00252,2025-09-01,W,normal,D00252,A00252,P00252
C00253,2025-01-01,S,normal,D00253,A00253,P00253
C00254,2025-04-04,E,normal,D00254,A00254,P00254
C00255,2025-01-01,S,normal,D00255,A00255,P00255
C00256,2025-01-01,W,normal,D00256,A00256,P00256
C00257,2025-10-06,S,normal,D00257,A00257,P00257
C00258,2025-01-01,S,normal,D00258,A00258,P00258
C00259,2025-06-21,W,normal,D00259,A00259,P00259
C00260,2025-01-01,W,normal,D00260,A00260,P00260
C00261,2025-01-01,NE,normal,D00261,A00261,P00261
C00262,2025-01-01,N,normal,D00262,A00262,P00262
C00263,2025-01-01,N,normal,D00263,A00263,P00263
C00264,2025-01-01,S,frequent_legit,D00264,A00264,P00264
C00265,2025-01-01,S,normal,D00265,A00265,P00265
C00266,2025-01-29,S,normal,D00266,A00266,P00266
C00267,2025-01-01,S,normal,D00267,A00267,P00267
C00268,2025-01-01,W,normal,D00268,A00268,P00268
C00269,2025-01-01,N,normal,D00269,A00269,P00269
C00270,2025-11-09,E,normal,D00270,A00270,P00270
C00271,2025-01-01,W,normal,D00271,A00271,P00271
C00272,2025-01-01,E,normal,D00272,A00272,P00272
C00273,2025-12-07,S,normal,D00273,A00273,P00273
C00274,2025-01-01,N,normal,D00274,A00274,P00274
C00275,2025-09-11,N,normal,D00275,A00275,P00275
C00276,2025-01-01,W,normal,D00276,A00276,P00276
C00277,2025-01-01,S,normal,D00277,A00277,P00277
C00278,2025-01-01,N,normal,D00278,A00278,P00278
C00279,2025-01-01,NE,normal,D00279,A00279,P00279
C00280,2025-01-01,E,normal,D00280,A00280,P00280
C00281,2025-01-01,W,normal,D00281,A00281,P00281
C00282,2025-01-01,S,normal,D00282,A00282,P00282
C00283,2025-12-06,NE,normal,D00283,A00283,P00283
C00284,2025-01-01,N,normal,D00284,A00284,P00284
C00285,2025-01-01,N,normal,D00285,A00285,P00285
C00286,2025-02-07,W,normal,D00286,A00286,P00286
C00287,2025-01-01,W,normal,D00287,A00287,P00287
C00288,2025-01-01,S,normal,D00288,A00288,P00288
C00289,2025-08-17,N,normal,D00289,A00289,P00289
C00290,2025-01-01,S,normal,D00290,A00290,P00290
C00291,2025-01-01,W,normal,D00291,A00291,P00291
C00292,2025-01-01,W,frequent_legit,D00292,A00292,P00292
C00293,2025-01-01,S,normal,D00293,A00293,P00293
C00294,2025-01-01,N,normal,D00294,A00294,P00294
C00295,2025-01-01,E,frequent_legit,D00295,A00295,P00295
C00296,2025-01-01,W,abusive,D00296,A00296,P00296
C00297,2025-09-22,S,normal,D00297,A00297,P00297
C00298,2025-01-01,E,normal,D00298,A00298,P00298
C00299,2025-01-01,NE,normal,D00299,A00299,P00299
C00300,2025-01-01,N,normal,D00300,A00300,P00300
C00301,2025-01-01,E,normal,D00301,A00301,P00301
C00302,2025-01-01,E,normal,D00302,A00302,P00302
C00303,2025-01-01,S,normal,D00303,A00303,P00303
C00304,2025-01-01,W,normal,D00304,A00304,P00304
C00305,2025-01-01,E,normal,D00305,A00305,P00305
C00306,2025-01-01,S,normal,D00306,A00306,P00306
C00307,2025-01-01,N,normal,D00307,A00307,P00307
C00308,2025-01-01,E,normal,D00308,A00308,P00308
C00309,2025-01-01,N,normal,D00309,A00309,P00309
C00310,2025-02-23,N,normal,D00310,A00310,P00310
C00311,2025-01-01,S,normal,D00311,A00311,P00311
C00312,2025-01-01,E,normal,D00312,A00312,P00312
C00313,2025-05-10,NE,normal,D00313,A00313,P00313
C00314,2025-07-14,E,normal,D00314,A00314,P00314
C00315,2025-01-01,W,normal,D00315,A00315,P00315
C00316,2025-01-01,S,normal,D00316,A00316,P00316
C00317,2025-01-01,S,normal,D00317,A00317,P00317
C00318,2025-01-01,NE,normal,D00318,A00318,P00318
C00319,2025-01-01,S,frequent_legit,D00319,A00319,P00319
C00320,2025-01-01,W,frequent_legit,D00320,A00320,P00320
C00321,2025-01-01,S,normal,D00321,A00321,P00321
C00322,2025-01-01,N,normal,D00322,A00322,P00322
C00323,2025-09-12,E,normal,D00323,A00323,P00323
C00324,2025-10-12,N,normal,D00324,A00324,P00324
C00325,2025-01-01,N,normal,D00325,A00325,P00325
C00326,2025-11-17,N,normal,D00326,A00326,P00326
C00327,2025-01-01,N,normal,D00327,A00327,P00327
C00328,2025-01-01,S,normal,D00328,A00328,P00328
C00329,2025-01-01,W,normal,D00329,A00329,P00329
C00330,2025-01-01,S,normal,D00330,A00330,P00330
C00331,2025-01-01,W,normal,D00331,A00331,P00331
C00332,2025-01-01,S,normal,D00332,A00332,P00332
C00333,2025-10-16,N,normal,D00333,A00333,P00333
C00334,2025-01-01,N,normal,D00334,A00334,P00334
C00335,2025-02-04,W,normal,D00335,A00335,P00335
C00336,2025-01-01,E,normal,D00336,A00336,P00336
C00337,2025-01-01,W,normal,D00337,A00337,P00337
C00338,2025-01-01,S,normal,D00338,A00338,P00338
C00339,2025-01-01,E,frequent_legit,D00339,A00339,P00339
C00340,2025-01-01,W,normal,D00340,A00340,P00340
C00341,2025-01-01,NE,frequent_legit,D00341,A00341,P00341
C00342,2025-01-01,N,normal,D00342,A00342,P00342
C00343,2025-01-01,NE,normal,D00343,A00343,P00343
C00344,2025-07-22,S,normal,D00344,A00344,P00344
C00345,2025-01-01,W,normal,D00345,A00345,P00345
C00346,2025-07-19,S,frequent_legit,D00346,A00346,P00346
C00347,2025-01-01,E,normal,D00347,A00347,P00347
C00348,2025-01-01,S,normal,D00348,A00348,P00348
C00349,2025-01-01,W,normal,D00349,A00349,P00349
C00350,2025-01-01,N,normal,D00350,A00350,P00350
C00351,2025-01-01,S,normal,D00351,A00351,P00351
C00352,2025-01-01,E,normal,D00352,A00352,P00352
C00353,2025-01-01,W,normal,D00353,A00353,P00353
C00354,2025-01-01,S,normal,D00354,A00354,P00354
C00355,2025-01-01,E,normal,D00355,A00355,P00355
C00356,2025-01-01,S,normal,D00356,A00356,P00356
C00357,2025-01-01,E,normal,D00357,A00357,P00357
C00358,2025-01-01,E,normal,D00358,A00358,P00358
C00359,2025-01-01,E,normal,D00359,A00359,P00359
C00360,2025-01-01,W,frequent_legit,D00360,A00360,P00360
C00361,2025-04-13,S,normal,D00361,A00361,P00361
C00362,2025-01-01,N,normal,D00362,A00362,P00362
C00363,2025-01-01,E,normal,D00363,A00363,P00363
C00364,2025-01-01,N,normal,D00364,A00364,P00364
C00365,2025-01-01,N,normal,D00365,A00365,P00365
C00366,2025-01-01,W,normal,D00366,A00366,P00366
C00367,2025-01-01,S,normal,D00367,A00367,P00367
C00368,2025-01-01,S,normal,D00368,A00368,P00368
C00369,2025-05-23,NE,normal,D00369,A00369,P00369
C00370,2025-01-01,N,normal,D00370,A00370,P00370
C00371,2025-01-01,N,normal,D00371,A00371,P00371
C00372,2025-01-01,N,normal,D00372,A00372,P00372
C00373,2025-06-04,N,normal,D00373,A00373,P00373
C00374,2025-01-01,W,normal,D00374,A00374,P00374
C00375,2025-01-01,W,normal,D00375,A00375,P00375
C00376,2025-01-01,E,frequent_legit,D00376,A00376,P00376
C00377,2025-01-01,N,normal,D00377,A00377,P00377
C00378,2025-09-01,S,normal,D00378,A00378,P00378
C00379,2025-01-01,N,normal,D00379,A00379,P00379
C00380,2025-07-12,E,normal,D00380,A00380,P00380
C00381,2025-01-01,E,frequent_legit,D00381,A00381,P00381
C00382,2025-01-01,N,normal,D00382,A00382,P00382
C00383,2025-01-01,W,normal,D00383,A00383,P00383
C00384,2025-01-01,W,normal,D00384,A00384,P00384
C00385,2025-01-01,S,abusive,D00385,A00385,P00385
C00386,2025-11-21,E,normal,D00386,A00386,P00386
C00387,2025-01-01,E,frequent_legit,D00387,A00387,P00387
C00388,2025-01-01,N,normal,D00388,A00388,P00388
C00389,2025-01-01,N,normal,D00389,A00389,P00389
C00390,2025-01-01,E,normal,D00390,A00390,P00390
C00391,2025-01-01,W,normal,D00391,A00391,P00391
C00392,2025-01-01,E,normal,D00392,A00392,P00392
C00393,2025-01-01,E,normal,D00393,A00393,P00393
C00394,2025-09-08,E,normal,D00394,A00394,P00394
C00395,2025-08-17,S,normal,D00395,A00395,P00395
C00396,2025-01-01,N,normal,D00396,A00396,P00396
C00397,2025-01-01,S,normal,D00397,A00397,P00397
C00398,2025-01-01,W,normal,D00398,A00398,P00398
C00399,2025-01-01,W,normal,D00399,A00399,P00399
C00400,2025-01-01,W,normal,D00400,A00400,P00400
C00401,2025-01-01,N,frequent_legit,D00401,A00401,P00401
C00402,2025-02-20,S,normal,D00402,A00402,P00402
C00403,2025-04-10,E,normal,D00403,A00403,P00403
C00404,2025-08-11,N,coordinated,DCO0000,ACO0000,PCO0000
C00405,2025-01-01,N,normal,D00405,A00405,P00405
C00406,2025-11-19,W,normal,D00406,A00406,P00406
C00407,2025-01-01,E,normal,D00407,A00407,P00407
C00408,2025-01-01,E,normal,D00408,A00408,P00408
C00409,2025-01-01,N,coordinated,DCO0000,ACO0000,PCO0000
C00410,2025-01-01,S,normal,D00410,A00410,P00410
C00411,2025-01-01,N,normal,D00411,A00411,P00411
C00412,2025-03-30,N,normal,D00412,A00412,P00412
C00413,2025-01-01,S,normal,D00413,A00413,P00413
C00414,2025-02-06,S,normal,D00414,A00414,P00414
C00415,2025-01-01,NE,normal,D00415,A00415,P00415
C00416,2025-01-01,S,normal,D00416,A00416,P00416
C00417,2025-01-01,N,normal,D00417,A00417,P00417
C00418,2025-01-01,N,normal,D00418,A00418,P00418
C00419,2025-01-01,W,frequent_legit,D00419,A00419,P00419
C00420,2025-01-01,N,normal,D00420,A00420,P00420
C00421,2025-01-01,N,normal,D00421,A00421,P00421
C00422,2025-01-01,S,normal,D00422,A00422,P00422
C00423,2025-01-01,N,normal,D00423,A00423,P00423
C00424,2025-01-01,E,normal,D00424,A00424,P00424
C00425,2025-11-01,S,normal,D00425,A00425,P00425
C00426,2025-01-01,N,normal,D00426,A00426,P00426
C00427,2025-01-01,W,normal,D00427,A00427,P00427
C00428,2025-05-17,S,normal,D00428,A00428,P00428
C00429,2025-01-01,E,normal,D00429,A00429,P00429
C00430,2025-09-01,N,frequent_legit,D00430,A00430,P00430
C00431,2025-01-01,E,normal,D00431,A00431,P00431
C00432,2025-01-01,S,normal,D00432,A00432,P00432
C00433,2025-01-01,S,normal,D00433,A00433,P00433
C00434,2025-01-01,S,normal,D00434,A00434,P00434
C00435,2025-01-01,NE,normal,D00435,A00435,P00435
C00436,2025-01-01,N,normal,D00436,A00436,P00436
C00437,2025-01-01,W,normal,D00437,A00437,P00437
C00438,2025-01-01,W,normal,D00438,A00438,P00438
C00439,2025-01-01,S,normal,D00439,A00439,P00439
C00440,2025-01-01,S,normal,D00440,A00440,P00440
C00441,2025-10-08,S,normal,D00441,A00441,P00441
C00442,2025-01-01,NE,normal,D00442,A00442,P00442
C00443,2025-01-01,E,normal,D00443,A00443,P00443
C00444,2025-01-01,S,normal,D00444,A00444,P00444
C00445,2025-01-01,N,normal,D00445,A00445,P00445
C00446,2025-02-15,W,abusive,D00446,A00446,P00446
C00447,2025-01-01,N,normal,D00447,A00447,P00447
C00448,2025-01-01,N,normal,D00448,A00448,P00448
C00449,2025-01-01,N,normal,D00449,A00449,P00449
C00450,2025-01-01,S,normal,D00450,A00450,P00450
C00451,2025-01-01,W,normal,D00451,A00451,P00451
C00452,2025-01-01,W,normal,D00452,A00452,P00452
C00453,2025-01-01,N,normal,D00453,A00453,P00453
C00454,2025-01-01,S,normal,D00454,A00454,P00454
C00455,2025-01-01,W,normal,D00455,A00455,P00455
C00456,2025-03-31,S,abusive,D00456,A00456,P00456
C00457,2025-01-01,N,normal,D00457,A00457,P00457
C00458,2025-01-01,S,normal,D00458,A00458,P00458
C00459,2025-01-01,E,normal,D00459,A00459,P00459
C00460,2025-01-01,NE,normal,D00460,A00460,P00460
C00461,2025-05-26,E,normal,D00461,A00461,P00461
C00462,2025-01-01,N,frequent_legit,D00462,A00462,P00462
C00463,2025-01-01,E,normal,D00463,A00463,P00463
C00464,2025-01-01,N,normal,D00464,A00464,P00464
C00465,2025-01-01,W,normal,D00465,A00465,P00465
C00466,2025-04-14,S,normal,D00466,A00466,P00466
C00467,2025-01-01,N,frequent_legit,D00467,A00467,P00467
C00468,2025-01-01,S,normal,D00468,A00468,P00468
C00469,2025-01-01,N,normal,D00469,A00469,P00469
C00470,2025-01-01,N,normal,D00470,A00470,P00470
C00471,2025-01-01,E,normal,D00471,A00471,P00471
C00472,2025-01-01,W,normal,D00472,A00472,P00472
C00473,2025-01-01,W,normal,D00473,A00473,P00473
C00474,2025-01-01,S,normal,D00474,A00474,P00474
C00475,2025-01-01,N,normal,D00475,A00475,P00475
C00476,2025-01-01,S,normal,D00476,A00476,P00476
C00477,2025-01-01,S,normal,D00477,A00477,P00477
C00478,2025-09-29,N,normal,D00478,A00478,P00478
C00479,2025-01-01,W,normal,D00479,A00479,P00479
C00480,2025-01-01,NE,normal,D00480,A00480,P00480
C00481,2025-01-01,N,normal,D00481,A00481,P00481
C00482,2025-01-01,W,normal,D00482,A00482,P00482
C00483,2025-02-27,E,normal,D00483,A00483,P00483
C00484,2025-01-01,N,normal,D00484,A00484,P00484
C00485,2025-06-20,E,normal,D00485,A00485,P00485
C00486,2025-01-01,N,normal,D00486,A00486,P00486
C00487,2025-01-01,N,normal,D00487,A00487,P00487
C00488,2025-01-06,NE,normal,D00488,A00488,P00488
C00489,2025-01-01,E,normal,D00489,A00489,P00489
