order_id,customer_id,order_created_at,delivery_at,product_id,product_category,product_price,discount_pct,order_value,payment_method,device_id,address_id,payment_fingerprint,region,customer_account_age_at_order
O000021,C06067,2025-01-01,2025-01-03,SKU02422,electronics,9326.31,11.26,8276.11,cod,D06067,A06067,P06067,W,1
O000022,C08413,2025-01-01,2025-01-06,SKU03342,fashion,1906.22,7.08,1771.29,card,D08413,A08413,P08413,N,1
O000023,C00441,2025-01-01,2025-01-05,SKU02325,fashion,738.71,33.71,489.7,upi,D00441,A00441,P00441,S,1
O000024,C01292,2025-01-01,2025-01-03,SKU04379,sports,5399.55,2.72,5252.55,cod,D01292,A01292,P01292,N,1
O000025,C07566,2025-01-01,2025-01-02,SKU00351,electronics,8869.02,13.6,7662.42,card,D07566,A07566,P07566,N,1
O000026,C05704,2025-01-01,2025-01-02,SKU00115,home,1369.2,12.79,1194.11,card,D05704,A05704,P05704,E,1
O000027,C07447,2025-01-01,2025-01-05,SKU04483,fashion,3386.21,8.42,3101.03,wallet,D07447,A07447,P07447,S,1
O000028,C08217,2025-01-01,2025-01-03,SKU03818,beauty,1064.46,5.42,1006.76,card,D08217,A08217,P08217,N,1
O000029,C03996,2025-01-01,2025-01-02,SKU03427,fashion,751.5,7.29,696.68,card,D03996,A03996,P03996,N,1
O000030,C05399,2025-01-01,2025-01-06,SKU01371,fashion,1354.41,7.91,1247.23,cod,D05399,A05399,P05399,N,1
O000031,C05294,2025-01-01,2025-01-03,SKU02298,sports,5330.86,9.87,4804.73,cod,D05294,A05294,P05294,W,1
O000032,C09183,2025-01-01,2025-01-02,SKU01978,home,2499.6,0.84,2478.6,wallet,D09183,A09183,P09183,S,1
O000033,C07996,2025-01-01,2025-01-06,SKU01362,beauty,2046.19,11.55,1809.84,card,D07996,A07996,P07996,E,1
O000034,C06399,2025-01-01,2025-01-05,SKU03492,sports,3470.21,16.13,2910.43,cod,D06399,A06399,P06399,E,1
O000035,C04769,2025-01-01,2025-01-02,SKU02913,fashion,1819.55,19.23,1469.7,upi,D04769,A04769,P04769,S,1
O000036,C04820,2025-01-01,2025-01-06,SKU01853,sports,1943.32,10.73,1734.87,upi,D04820,A04820,P04820,N,1
O000037,C03959,2025-01-01,2025-01-05,SKU02416,grocery,2022.57,12.36,1772.49,card,D03959,A03959,P03959,N,1
O000038,C04673,2025-01-01,2025-01-03,SKU00315,fashion,3103.5,24.71,2336.58,upi,D04673,A04673,P04673,S,1
O000039,C04226,2025-01-01,2025-01-05,SKU02602,beauty,823.73,11.61,728.11,upi,D04226,A04226,P04226,N,1
O000040,C07109,2025-01-01,2025-01-03,SKU02802,beauty,964.95,12.72,842.22,card,D07109,A07109,P07109,E,1
O000041,C03608,2025-01-01,2025-01-02,SKU04233,grocery,369.05,10.71,329.54,upi,D03608,A03608,P03608,S,1
O000042,C04213,2025-01-01,2025-01-03,SKU03138,home,889.25,5.1,843.93,wallet,D04213,A04213,P04213,N,1
O000043,C02197,2025-01-01,2025-01-03,SKU01767,sports,2568.65,9.83,2316.08,cod,D02197,A02197,P02197,N,1
O000044,C06848,2025-01-01,2025-01-06,SKU00680,sports,3127.2,11.99,2752.11,upi,D06848,A06848,P06848,N,1
O000045,C09869,2025-01-01,2025-01-04,SKU00951,fashion,854.07,31.5,585.07,cod,D09869,A09869,P09869,E,1
O000046,C04615,2025-01-01,2025-01-03,SKU02678,sports,3408.96,19.22,2753.75,card,D04615,A04615,P04615,N,1
O000047,C06058,2025-01-01,2025-01-06,SKU03001,electronics,4994.59,5.28,4730.85,card,D06058,A06058,P06058,W,1
O000048,C01313,2025-01-01,2025-01-04,SKU04112,beauty,539.44,22.37,418.78,upi,D01313,A01313,P01313,N,1
O000049,C07605,2025-01-01,2025-01-05,SKU01740,beauty,1139.17,21.9,889.66,upi,D07605,A07605,P07605,S,1
O000050,C06350,2025-01-01,2025-01-04,SKU04351,grocery,2273.53,6.8,2118.97,upi,D06350,A06350,P06350,N,1
O000051,C04224,2025-01-01,2025-01-06,SKU02289,fashion,2896.51,10.23,2600.12,cod,D04224,A04224,P04224,S,1
O000052,C06830,2025-01-01,2025-01-02,SKU04405,electronics,4135.38,15.57,3491.31,upi,D06830,A06830,P06830,N,1
O000053,C05714,2025-01-01,2025-01-02,SKU04474,home,3669.37,2.4,3581.2,cod,D05714,A05714,P05714,E,1
O000054,C08780,2025-01-01,2025-01-05,SKU01797,electronics,9894.72,6.16,9285.4,wallet,D08780,A08780,P08780,E,1
O000055,C04446,2025-01-01,2025-01-04,SKU00316,grocery,968.7,27.85,698.89,upi,D04446,A04446,P04446,E,1
O000056,C09098,2025-01-01,2025-01-03,SKU03506,grocery,3480.76,3.91,3344.8,upi,D09098,A09098,P09098,N,1
O000057,C07425,2025-01-01,2025-01-05,SKU03196,sports,3958.51,12.88,3448.7,card,D07425,A07425,P07425,W,1
O000058,C09887,2025-01-01,2025-01-05,SKU02710,home,6286.83,12.83,5480.37,upi,D09887,A09887,P09887,E,1
O000059,C06326,2025-01-01,2025-01-03,SKU02719,grocery,285.28,13.89,245.64,card,D06326,A06326,P06326,E,1
O000060,C04165,2025-01-01,2025-01-02,SKU03196,home,2134.91,6.24,2001.63,upi,D04165,A04165,P04165,S,1
O000061,C07721,2025-01-01,2025-01-03,SKU02831,fashion,1104.28,11.32,979.25,wallet,D07721,A07721,P07721,N,1
O000062,C07075,2025-01-01,2025-01-04,SKU00636,electronics,4108.43,34.48,2691.67,upi,D07075,A07075,P07075,S,1
O000063,C04034,2025-01-01,2025-01-02,SKU01381,home,6463.47,7.47,5980.96,upi,D04034,A04034,P04034,E,1
O000064,C00750,2025-01-01,2025-01-06,SKU04344,grocery,622.27,4.76,592.64,upi,D00750,A00750,P00750,S,1
O000065,C07762,2025-01-01,2025-01-06,SKU03324,beauty,1376.09,13.63,1188.54,upi,D07762,A07762,P07762,W,1
O000066,C09363,2025-01-01,2025-01-04,SKU04304,electronics,16827.3,21.66,13182.24,card,D09363,A09363,P09363,N,1
O000067,C09074,2025-01-01,2025-01-06,SKU00275,home,3349.27,8.25,3073.03,upi,D09074,A09074,P09074,N,1
O000068,C01537,2025-01-01,2025-01-06,SKU00816,sports,2264.61,10.42,2028.75,card,D01537,A01537,P01537,N,1
O000069,C01951,2025-01-01,2025-01-06,SKU01916,home,1433.24,8.41,1312.78,cod,D01951,A01951,P01951,S,1
O000070,C03478,2025-01-01,2025-01-03,SKU02529,electronics,13791.85,3.3,13337.37,wallet,D03478,A03478,P03478,W,1
O000071,C04806,2025-01-01,2025-01-03,SKU01616,home,2499.52,7.41,2314.19,upi,D04806,A04806,P04806,S,1
O000072,C09571,2025-01-01,2025-01-06,SKU00983,fashion,267.47,21.01,211.28,upi,D09571,A09571,P09571,W,1
O000073,C01386,2025-01-01,2025-01-02,SKU04419,home,4462.93,23.33,3421.83,card,D01386,A01386,P01386,N,1
O000074,C07824,2025-01-01,2025-01-05,SKU02804,fashion,838.4,15.95,704.64,cod,D07824,A07824,P07824,S,1
O000075,C01504,2025-01-01,2025-01-02,SKU00747,home,5317.61,4.71,5067.03,cod,D01504,A01504,P01504,W,1
O000076,C09771,2025-01-01,2025-01-05,SKU03586,home,1077.96,1.08,1066.3,upi,D09771,A09771,P09771,N,1
O000077,C03245,2025-01-01,2025-01-05,SKU00122,electronics,15454.5,13.51,13366.45,card,D03245,A03245,P03245,W,1
O000078,C06491,2025-01-01,2025-01-04,SKU04168,home,4852.93,3.45,4685.53,upi,D06491,A06491,P06491,N,1
O000079,C03975,2025-01-01,2025-01-03,SKU03438,fashion,867.92,16.83,721.86,upi,D03975,A03975,P03975,W,1
O000080,C04855,2025-01-01,2025-01-03,SKU00826,beauty,1170.11,16.78,973.75,cod,D04855,A04855,P04855,E,1
O000081,C01874,2025-01-01,2025-01-05,SKU02092,grocery,1143.65,7.08,1062.71,upi,D01874,A01874,P01874,S,1
O000082,C03745,2025-01-01,2025-01-04,SKU01009,grocery,594.12,14.3,509.15,card,D03745,A03745,P03745,W,1
O000083,C06876,2025-01-01,2025-01-05,SKU01850,electronics,5772.44,20.35,4597.64,card,D06876,A06876,P06876,E,1
O000084,C04100,2025-01-01,2025-01-05,SKU00283,grocery,585.13,1.86,574.25,cod,D04100,A04100,P04100,N,1
O000085,C04107,2025-01-01,2025-01-04,SKU02421,fashion,1067.22,20.33,850.27,cod,D04107,A04107,P04107,N,1
O000086,C03770,2025-01-01,2025-01-03,SKU02181,electronics,7790.51,6.42,7290.36,cod,D03770,A03770,P03770,NE,1
O000087,C02728,2025-01-01,2025-01-05,SKU03743,fashion,768.95,6.69,717.54,card,D02728,A02728,P02728,S,1
O000088,C04326,2025-01-01,2025-01-04,SKU03031,fashion,2137.63,3.34,2066.29,card,D04326,A04326,P04326,S,1
O000089,C00288,2025-01-01,2025-01-06,SKU00950,fashion,1691.76,11.42,1498.64,card,D00288,A00288,P00288,S,1
O000090,C02818,2025-01-01,2025-01-05,SKU04093,beauty,2941.29,14.12,2525.94,card,D02818,A02818,P02818,S,1
O000091,C05062,2025-01-01,2025-01-04,SKU04206,grocery,306.89,3.12,297.3,cod,D05062,A05062,P05062,S,1
O000092,C02005,2025-01-01,2025-01-02,SKU00258,electronics,3176.03,7.91,2924.88,wallet,D02005,A02005,P02005,N,1
O000093,C05209,2025-01-01,2025-01-04,SKU02982,fashion,1884.89,27.58,1365.08,upi,D05209,A05209,P05209,W,1
O000094,C05808,2025-01-01,2025-01-06,SKU02898,fashion,2763.8,7.59,2554.0,card,D05808,A05808,P05808,N,1
O000095,C05441,2025-01-01,2025-01-06,SKU01313,fashion,1798.45,4.25,1721.95,upi,D05441,A05441,P05441,NE,1
O000096,C01767,2025-01-01,2025-01-02,SKU03962,fashion,1790.75,15.26,1517.47,upi,D01767,A01767,P01767,W,1
O000097,C06335,2025-01-01,2025-01-02,SKU02934,home,1408.45,20.29,1122.66,card,D06335,A06335,P06335,S,1
O000098,C00917,2025-01-01,2025-01-04,SKU01536,electronics,9537.96,11.09,8480.22,card,D00917,A00917,P00917,E,1
O000099,C01023,2025-01-01,2025-01-03,SKU04010,sports,1890.7,34.53,1237.78,card,D01023,A01023,P01023,W,1
O000100,C04251,2025-01-01,2025-01-03,SKU04222,beauty,1839.53,7.39,1703.5,upi,D04251,A04251,P04251,N,1
O000101,C03232,2025-01-01,2025-01-04,SKU01199,fashion,1836.67,29.51,1294.61,card,D03232,A03232,P03232,E,1
O000102,C05123,2025-01-01,2025-01-04,SKU00648,home,2518.37,4.64,2401.62,card,D05123,A05123,P05123,W,1
O000103,C05569,2025-01-01,2025-01-04,SKU00542,beauty,965.49,7.28,895.22,card,D05569,A05569,P05569,N,1
O000104,C02341,2025-01-01,2025-01-06,SKU02537,electronics,3102.46,17.32,2565.11,upi,D02341,A02341,P02341,NE,1
O000105,C01520,2025-01-01,2025-01-02,SKU02171,fashion,2186.4,18.81,1775.08,upi,D01520,A01520,P01520,S,1
O000106,C06884,2025-01-01,2025-01-03,SKU02102,sports,2678.65,1.9,2627.77,cod,D06884,A06884,P06884,S,1
O000107,C00569,2025-01-01,2025-01-02,SKU02931,grocery,1140.77,16.51,952.42,cod,D00569,A00569,P00569,W,1
O000108,C08522,2025-01-01,2025-01-06,SKU02590,sports,2529.68,6.28,2370.84,upi,D08522,A08522,P08522,W,1
O000109,C06898,2025-01-01,2025-01-03,SKU03611,grocery,1146.34,36.03,733.35,upi,D06898,A06898,P06898,W,1
O000110,C01895,2025-01-01,2025-01-05,SKU00482,grocery,1595.67,14.8,1359.55,wallet,D01895,A01895,P01895,N,1
O000111,C05597,2025-01-01,2025-01-06,SKU00626,electronics,61440.39,17.91,50438.33,card,D05597,A05597,P05597,S,1
O000112,C09827,2025-01-01,2025-01-06,SKU02173,fashion,2520.75,10.75,2249.88,card,D09827,A09827,P09827,N,1
O000113,C02636,2025-01-01,2025-01-02,SKU02309,beauty,2187.59,10.88,1949.56,upi,D02636,A02636,P02636,N,1
O000114,C08229,2025-01-01,2025-01-03,SKU01523,sports,3137.83,11.8,2767.56,upi,D08229,A08229,P08229,E,1
O000115,C05523,2025-01-01,2025-01-02,SKU03901,sports,1527.55,16.77,1271.35,card,D05523,A05523,P05523,N,1
O000116,C03128,2025-01-01,2025-01-03,SKU03463,electronics,4845.63,3.29,4686.13,upi,D03128,A03128,P03128,E,1
O000117,C00041,2025-01-01,2025-01-03,SKU00044,home,3702.65,7.52,3424.1,card,D00041,A00041,P00041,S,1
O000118,C02520,2025-01-01,2025-01-06,SKU00197,beauty,909.92,17.72,748.68,card,D02520,A02520,P02520,S,1
O000119,C03223,2025-01-01,2025-01-04,SKU02061,grocery,592.12,15.21,502.04,wallet,D03223,A03223,P03223,N,1
O000120,C03846,2025-01-01,2025-01-06,SKU00505,beauty,700.98,10.66,626.25,upi,D03846,A03846,P03846,W,1
O000121,C01907,2025-01-01,2025-01-04,SKU01034,sports,1399.17,18.59,1139.07,card,D01907,A01907,P01907,W,1
O000122,C09961,2025-01-01,2025-01-06,SKU03067,electronics,15443.86,9.92,13911.12,cod,D09961,A09961,P09961,N,1
O000123,C00587,2025-01-01,2025-01-05,SKU02184,grocery,499.28,17.4,412.42,cod,D00587,A00587,P00587,NE,1
O000124,C00559,2025-01-01,2025-01-04,SKU01577,fashion,1275.2,13.98,1096.94,upi,D00559,A00559,P00559,W,1
O000125,C08327,2025-01-01,2025-01-04,SKU03207,electronics,5629.39,23.14,4326.9,card,D08327,A08327,P08327,S,1
O000126,C06377,2025-01-01,2025-01-04,SKU00989,electronics,8445.73,9.17,7671.53,cod,D06377,A06377,P06377,S,1
O000127,C04325,2025-01-01,2025-01-03,SKU01574,home,1253.89,10.31,1124.62,card,D04325,A04325,P04325,E,1
O000128,C05531,2025-01-01,2025-01-04,SKU02218,grocery,661.38,8.9,602.51,upi,D05531,A05531,P05531,NE,1
O000129,C08756,2025-01-01,2025-01-02,SKU01211,home,1400.84,27.47,1016.04,card,D08756,A08756,P08756,S,1
O000130,C09069,2025-01-01,2025-01-03,SKU00364,electronics,5026.33,14.33,4306.01,card,D09069,A09069,P09069,S,1
O000131,C05744,2025-01-01,2025-01-06,SKU02129,electronics,29215.16,23.04,22482.67,card,D05744,A05744,P05744,N,1
O000132,C08160,2025-01-01,2025-01-06,SKU00246,fashion,1415.37,22.78,1092.93,upi,D08160,A08160,P08160,W,1
O000133,C00892,2025-01-01,2025-01-02,SKU00339,beauty,423.8,11.29,375.97,cod,D00892,A00892,P00892,W,1
O000134,C00335,2025-01-01,2025-01-02,SKU03344,sports,1105.5,31.59,756.26,wallet,D00335,A00335,P00335,W,1
O000135,C06578,2025-01-01,2025-01-06,SKU02160,sports,7073.57,1.9,6939.0,upi,D06578,A06578,P06578,S,1
O000136,C01004,2025-01-01,2025-01-06,SKU03535,electronics,3417.9,8.73,3119.68,card,D01004,A01004,P01004,W,1
O000137,C05087,2025-01-01,2025-01-03,SKU03742,electronics,4065.62,23.12,3125.6,card,D05087,A05087,P05087,W,1
O000138,C02045,2025-01-01,2025-01-05,SKU00563,fashion,3867.89,2.82,3758.8,cod,D02045,A02045,P02045,E,1
O000139,C00368,2025-01-01,2025-01-05,SKU02408,sports,994.72,17.81,817.59,card,D00368,A00368,P00368,S,1
O000140,C09822,2025-01-01,2025-01-03,SKU02876,home,7324.46,4.75,6976.41,upi,D09822,A09822,P09822,N,1
O000141,C06155,2025-01-01,2025-01-06,SKU01136,grocery,825.37,18.02,676.65,upi,D06155,A06155,P06155,W,1
O000142,C09277,2025-01-01,2025-01-05,SKU04429,electronics,5629.9,15.49,4757.88,card,D09277,A09277,P09277,S,1
O000143,C09089,2025-01-01,2025-01-05,SKU02525,electronics,5980.2,13.67,5162.59,card,D09089,A09089,P09089,S,1
O000144,C05400,2025-01-01,2025-01-06,SKU00121,grocery,512.04,8.0,471.09,wallet,D05400,A05400,P05400,S,1
O000145,C02037,2025-01-01,2025-01-03,SKU02297,beauty,793.22,5.42,750.21,card,D02037,A02037,P02037,S,1
O000146,C02021,2025-01-01,2025-01-05,SKU01129,grocery,437.89,9.21,397.55,upi,D02021,A02021,P02021,S,1
O000147,C06274,2025-01-01,2025-01-06,SKU01653,sports,1251.15,3.91,1202.18,card,D06274,A06274,P06274,N,1
O000148,C06353,2025-01-01,2025-01-02,SKU03358,home,2230.16,17.05,1850.01,upi,D06353,A06353,P06353,W,1
O000149,C02588,2025-01-01,2025-01-06,SKU01125,fashion,2384.3,9.33,2161.83,wallet,D02588,A02588,P02588,S,1
O000150,C02754,2025-01-01,2025-01-02,SKU02245,beauty,1088.05,4.03,1044.22,card,D02754,A02754,P02754,W,1
O000151,C09734,2025-01-01,2025-01-06,SKU04273,home,1842.99,11.77,1626.14,upi,D09734,A09734,P09734,E,1
O000152,C08555,2025-01-01,2025-01-03,SKU00676,grocery,629.61,10.46,563.75,upi,D08555,A08555,P08555,W,1
O000153,C07300,2025-01-01,2025-01-04,SKU02423,electronics,17069.43,14.25,14636.67,card,D07300,A07300,P07300,N,1
O000154,C07272,2025-01-01,2025-01-02,SKU03767,electronics,4502.58,25.2,3367.88,card,D07272,A07272,P07272,S,1
O000155,C03737,2025-01-01,2025-01-06,SKU00264,beauty,1000.45,11.21,888.27,cod,D03737,A03737,P03737,S,1
O000156,C04016,2025-01-01,2025-01-05,SKU00291,fashion,840.86,5.41,795.35,card,D04016,A04016,P04016,S,1
O000157,C05147,2025-01-01,2025-01-06,SKU02151,beauty,547.66,4.55,522.73,cod,D05147,A05147,P05147,NE,1
O000158,C02525,2025-01-01,2025-01-06,SKU02194,home,2932.77,1.3,2894.65,cod,D02525,A02525,P02525,N,1
O000159,C01285,2025-01-01,2025-01-03,SKU02901,fashion,1292.79,18.35,1055.59,cod,D01285,A01285,P01285,S,1
O000160,C06790,2025-01-01,2025-01-06,SKU01954,fashion,2570.54,23.01,1978.99,card,D06790,A06790,P06790,E,1
O000161,C04003,2025-01-01,2025-01-02,SKU03061,fashion,7674.11,9.8,6922.14,cod,D04003,A04003,P04003,N,1
O000162,C07711,2025-01-01,2025-01-04,SKU03048,fashion,3134.79,13.72,2704.67,cod,D07711,A07711,P07711,S,1
O000163,C03553,2025-01-01,2025-01-04,SKU00798,fashion,4875.9,7.19,4525.24,upi,D03553,A03553,P03553,NE,1
O000164,C09472,2025-01-01,2025-01-04,SKU01865,sports,1639.22,18.0,1344.13,upi,D09472,A09472,P09472,S,1
O000165,C01549,2025-01-01,2025-01-03,SKU00339,electronics,8303.03,8.8,7572.35,upi,D01549,A01549,P01549,E,1
O000166,C08018,2025-01-01,2025-01-04,SKU02785,fashion,4825.26,7.13,4481.18,upi,D08018,A08018,P08018,E,1
O000167,C02114,2025-01-01,2025-01-02,SKU01564,home,5731.06,8.74,5230.19,cod,D02114,A02114,P02114,E,1
O000168,C02106,2025-01-01,2025-01-04,SKU01912,electronics,8422.5,6.33,7889.19,cod,D02106,A02106,P02106,E,1
O000169,C00203,2025-01-01,2025-01-04,SKU02901,home,2579.88,4.22,2471.03,card,D00203,A00203,P00203,S,1
O000170,C08951,2025-01-01,2025-01-05,SKU00328,electronics,11446.38,13.15,9940.64,cod,D08951,A08951,P08951,S,1
O000171,C08809,2025-01-01,2025-01-04,SKU04127,sports,4416.57,6.07,4148.42,upi,D08809,A08809,P08809,E,1
O000172,C05310,2025-01-01,2025-01-03,SKU01429,electronics,7277.78,17.34,6015.73,card,D05310,A05310,P05310,E,1
O000173,C05782,2025-01-01,2025-01-04,SKU03121,sports,4274.03,5.23,4050.57,wallet,D05782,A05782,P05782,S,1
O000174,C02920,2025-01-01,2025-01-04,SKU03035,electronics,17218.98,16.48,23214.85,upi,DCO0007,ACO0007,PCO0007,S,1
O000175,C08967,2025-01-01,2025-01-02,SKU00588,fashion,975.29,10.17,876.06,wallet,D08967,A08967,P08967,S,1
O000176,C00796,2025-01-01,2025-01-03,SKU00654,fashion,3054.23,16.81,2540.74,upi,D00796,A00796,P00796,N,1
O000177,C00803,2025-01-01,2025-01-05,SKU02378,beauty,777.4,11.2,690.36,cod,D00803,A00803,P00803,N,1
O000178,C06652,2025-01-02,2025-01-05,SKU03136,fashion,563.05,7.89,518.62,upi,D06652,A06652,P06652,W,1
O000179,C06068,2025-01-02,2025-01-04,SKU00644,fashion,905.6,30.56,628.85,cod,D06068,A06068,P06068,S,1
O000180,C03716,2025-01-02,2025-01-06,SKU04420,fashion,6017.01,17.17,4983.73,card,D03716,A03716,P03716,E,1
O000181,C07004,2025-01-02,2025-01-05,SKU03596,electronics,11670.7,12.59,10201.11,cod,D07004,A07004,P07004,S,1
O000182,C03319,2025-01-02,2025-01-04,SKU02099,electronics,21988.04,7.69,20297.1,upi,D03319,A03319,P03319,N,1
O000183,C01699,2025-01-02,2025-01-03,SKU02529,fashion,1008.68,7.4,934.02,upi,D01699,A01699,P01699,W,1
O000184,C07303,2025-01-02,2025-01-05,SKU00830,beauty,2270.89,26.53,1668.47,upi,D07303,A07303,P07303,S,1
O000185,C01246,2025-01-02,2025-01-04,SKU02555,fashion,4604.56,11.4,4079.84,card,D01246,A01246,P01246,N,1
O000186,C06923,2025-01-02,2025-01-06,SKU00421,grocery,600.92,10.61,537.19,card,D06923,A06923,P06923,W,1
O000187,C09183,2025-01-02,2025-01-07,SKU00403,electronics,25470.77,11.41,22563.49,upi,D09183,A09183,P09183,S,1
O000188,C01675,2025-01-02,2025-01-04,SKU01203,fashion,3497.36,17.53,2884.16,upi,D01675,A01675,P01675,N,1
O000189,C07031,2025-01-02,2025-01-03,SKU01387,fashion,2024.44,6.14,1900.07,card,D07031,A07031,P07031,N,1
O000190,C05666,2025-01-02,2025-01-06,SKU02193,fashion,3430.79,17.51,2830.14,upi,D05666,A05666,P05666,E,1
O000191,C06569,2025-01-02,2025-01-03,SKU04400,home,2250.01,20.38,1791.49,card,D06569,A06569,P06569,N,1
O000192,C03036,2025-01-02,2025-01-03,SKU03757,electronics,7701.21,12.14,6766.13,upi,D03036,A03036,P03036,W,1
O000193,C05400,2025-01-02,2025-01-07,SKU02300,fashion,2854.53,11.78,2518.27,card,D05400,A05400,P05400,S,1
O000194,C04075,2025-01-02,2025-01-05,SKU00302,fashion,2151.36,17.38,1777.48,card,D04075,A04075,P04075,S,1
O000195,C09898,2025-01-02,2025-01-07,SKU02326,home,6831.79,9.18,6204.36,upi,D09898,A09898,P09898,N,1
O000196,C00071,2025-01-02,2025-01-05,SKU00301,home,3788.46,17.64,3120.07,card,D00071,A00071,P00071,W,1
O000197,C06501,2025-01-02,2025-01-07,SKU04296,fashion,811.49,7.07,754.15,card,D06501,A06501,P06501,N,1
O000198,C08101,2025-01-02,2025-01-04,SKU02078,fashion,7507.96,12.51,6568.94,wallet,D08101,A08101,P08101,E,1
O000199,C06059,2025-01-02,2025-01-04,SKU02004,grocery,1747.84,30.13,1221.26,card,D06059,A06059,P06059,S,1
O000200,C04189,2025-01-02,2025-01-07,SKU02953,fashion,2801.77,11.56,2477.91,card,D04189,A04189,P04189,W,1
O000201,C05030,2025-01-02,2025-01-06,SKU02985,home,6062.66,22.27,4712.33,upi,D05030,A05030,P05030,W,1
O000202,C04578,2025-01-02,2025-01-07,SKU01631,fashion,746.37,8.75,681.06,card,D04578,A04578,P04578,N,1
O000203,C04014,2025-01-02,2025-01-03,SKU02813,home,2487.86,11.79,2194.42,cod,D04014,A04014,P04014,W,1
O000204,C04429,2025-01-02,2025-01-07,SKU00520,electronics,10035.9,19.17,8111.88,cod,D04429,A04429,P04429,E,1
O000205,C07900,2025-01-02,2025-01-07,SKU00097,electronics,8480.35,14.63,7240.01,upi,D07900,A07900,P07900,S,1
O000206,C05398,2025-01-02,2025-01-06,SKU04243,fashion,1450.84,16.15,1216.54,upi,D05398,A05398,P05398,NE,1
O000207,C02316,2025-01-02,2025-01-07,SKU01517,grocery,150.0,4.63,143.06,upi,D02316,A02316,P02316,W,1
O000208,C03825,2025-01-02,2025-01-05,SKU03635,sports,2415.76,15.84,2033.13,card,D03825,A03825,P03825,E,1
O000209,C04663,2025-01-02,2025-01-05,SKU02366,sports,1418.9,16.93,1178.63,upi,D04663,A04663,P04663,S,1
O000210,C01449,2025-01-02,2025-01-03,SKU01355,beauty,1100.27,19.61,884.54,upi,D01449,A01449,P01449,S,1
O000211,C07620,2025-01-02,2025-01-06,SKU03306,grocery,458.49,10.33,411.13,upi,D07620,A07620,P07620,N,1
O000212,C09747,2025-01-02,2025-01-07,SKU03535,electronics,9421.66,15.09,8000.27,card,D09747,A09747,P09747,S,1
O000213,C08552,2025-01-02,2025-01-04,SKU00948,grocery,758.69,10.03,682.57,card,D08552,A08552,P08552,N,1
O000214,C03834,2025-01-02,2025-01-03,SKU00594,beauty,611.08,14.43,522.91,cod,D03834,A03834,P03834,W,1
O000215,C00267,2025-01-02,2025-01-03,SKU02977,sports,1117.49,28.16,802.85,upi,D00267,A00267,P00267,S,1
