return_id,order_id,customer_id,return_requested_at,return_reason,return_value
R000187,O001925,C07002,2025-01-16 03:31:48.463875336,not_as_described,1245.22
R000188,O001934,C02879,2025-01-15 21:55:55.399790125,damaged,3864.56
R000189,O001936,C05591,2025-01-17 02:13:45.701632473,damaged,2246.75
R000190,O001942,C04267,2025-01-30 00:00:00.000000000,wrong_item,1424.27
R000191,O001951,C04668,2025-01-16 00:50:40.262337142,wrong_item,12246.9
R000192,O001959,C02050,2025-01-13 07:01:52.677144400,wrong_item,1004.9
R000193,O001966,C04508,2025-01-16 14:29:02.846577062,not_as_described,8921.29
R000194,O001974,C08211,2025-01-14 20:23:17.372949104,size_fit,326.19
R000195,O001989,C09671,2025-01-15 14:09:19.162343840,size_fit,4025.79
R000196,O001993,C02551,2025-01-21 09:39:36.576054648,not_as_described,9914.91
R000197,O001994,C08103,2025-01-14 16:13:56.013233556,damaged,3828.74
R000198,O001995,C02649,2025-01-12 22:48:56.856493864,wrong_item,1045.76
R000199,O002008,C06254,2025-01-29 00:00:00.000000000,size_fit,542.7
R000200,O002009,C06733,2025-01-30 00:00:00.000000000,size_fit,3517.85
R000201,O002011,C00502,2025-01-15 09:10:16.286727320,changed_mind,1592.64
R000202,O002031,C03760,2025-01-13 14:26:01.516194009,not_as_described,664.95
R000203,O002050,C05536,2025-01-25 18:54:57.098744211,wrong_item,2724.78
R000204,O002063,C09846,2025-01-13 17:45:16.204060634,wrong_item,2894.92
R000205,O002080,C07497,2025-01-15 09:08:31.332308395,wrong_item,1603.15
R000206,O002091,C08909,2025-01-13 18:20:51.251563309,size_fit,858.37
R000207,O002095,C08598,2025-01-18 18:44:34.585797210,size_fit,899.33
R000208,O002128,C08445,2025-01-17 19:44:01.509252450,wrong_item,5220.77
R000209,O002140,C05209,2025-01-15 10:40:48.540033897,size_fit,176.01
R000210,O002170,C09130,2025-01-18 22:54:57.372733666,not_as_described,729.27
R000211,O002181,C05060,2025-01-18 00:18:38.546227785,size_fit,4160.34
R000212,O002185,C02646,2025-01-19 22:46:14.408244922,not_as_described,2471.98
R000213,O002187,C06487,2025-01-22 10:40:44.658216789,damaged,182.26
R000214,O002200,C00878,2025-01-19 19:05:14.371547384,size_fit,6361.48
R000215,O002206,C09676,2025-01-17 16:21:32.730974182,damaged,9430.23
R000216,O002209,C00522,2025-01-20 05:00:29.455717399,size_fit,1603.9
R000217,O002220,C04583,2025-01-13 15:28:12.224330562,changed_mind,1765.17
R000218,O002248,C04790,2025-01-15 21:03:06.921972255,wrong_item,1157.34
R000219,O002255,C04276,2025-01-19 07:35:10.255808169,wrong_item,4647.57
R000220,O002261,C04643,2025-01-16 17:37:17.847953792,size_fit,600.26
R000221,O002273,C03685,2025-01-18 01:44:02.054164282,not_as_described,1421.42
R000222,O002282,C09990,2025-01-16 04:02:34.201159764,damaged,19499.71
R000223,O002295,C05022,2025-01-17 01:39:32.489699281,damaged,1901.06
R000224,O002342,C08458,2025-01-18 23:02:25.526610862,size_fit,2940.73
R000225,O002373,C02442,2025-01-15 11:13:48.929794442,size_fit,2960.08
R000226,O002392,C06446,2025-01-14 19:28:05.626095582,damaged,13230.91
R000227,O002401,C00504,2025-01-16 11:08:22.978875429,size_fit,17428.08
R000228,O002415,C09383,2025-01-19 10:03:07.160834163,not_as_described,5993.65
R000229,O002416,C08078,2025-01-17 00:26:30.424928672,not_as_described,4156.42
R000230,O002432,C07098,2025-01-16 09:58:30.087243681,not_as_described,528.33
R000231,O002433,C06320,2025-01-15 10:25:29.686352566,size_fit,367.99
R000232,O002453,C00339,2025-01-25 20:46:34.262343591,wrong_item,2023.78
R000233,O002458,C07591,2025-01-20 19:29:04.878177597,damaged,2538.73
R000234,O002473,C03164,2025-01-16 21:19:06.462062043,wrong_item,722.2
R000235,O002484,C03661,2025-01-20 10:39:37.226189707,not_as_described,2266.26
R000236,O002504,C06918,2025-01-22 00:27:33.072945328,size_fit,1723.26
R000237,O002512,C06499,2025-01-15 10:13:34.445868952,size_fit,7760.88
R000238,O002514,C02418,2025-01-18 12:18:23.628464179,changed_mind,929.74
R000239,O002521,C09563,2025-01-17 02:57:58.007631186,damaged,5895.46
R000240,O002551,C05239,2025-01-19 22:04:15.546653320,changed_mind,1141.01
R000241,O002565,C05883,2025-01-21 09:54:23.883648483,wrong_item,781.65
R000242,O002568,C05571,2025-01-18 14:33:37.616873986,not_as_described,5618.79
R000243,O002575,C02748,2025-01-22 13:38:43.655477960,not_as_described,4786.23
R000244,O002593,C09972,2025-01-21 05:08:11.472684738,not_as_described,3234.91
R000245,O002613,C05101,2025-01-19 23:21:02.043942426,changed_mind,1883.87
R000246,O002617,C06477,2025-01-19 05:25:11.944242847,size_fit,3842.94
R000247,O002623,C09589,2025-01-18 19:34:17.674471786,damaged,1266.77
R000248,O002635,C06129,2025-01-18 20:19:36.262892967,size_fit,530.64
R000249,O002640,C07203,2025-01-15 18:36:42.386468558,size_fit,589.99
R000250,O002669,C06746,2025-01-17 14:30:58.757697270,wrong_item,2661.49
R000251,O002674,C02002,2025-01-16 12:24:49.085746920,size_fit,911.76
R000252,O002683,C06411,2025-01-20 01:09:48.515831456,changed_mind,18318.36
R000253,O002685,C09073,2025-01-20 22:03:57.726324990,size_fit,1291.12
R000254,O002687,C05154,2025-02-04 00:00:00.000000000,size_fit,6550.42
R000255,O002693,C06170,2025-01-20 15:19:53.834419459,size_fit,1553.34
R000256,O002706,C05702,2025-01-21 18:39:02.656435510,not_as_described,221.69
R000257,O002718,C07288,2025-01-16 18:18:46.982239185,changed_mind,1500.22
R000258,O002724,C07429,2025-01-19 11:00:36.747084103,damaged,1589.04
R000259,O002735,C07800,2025-01-22 16:18:08.439885514,size_fit,9800.82
R000260,O002749,C02821,2025-01-20 05:49:40.946801476,size_fit,976.96
R000261,O002756,C07569,2025-01-19 02:07:43.249238587,wrong_item,1612.4
R000262,O002760,C05516,2025-01-25 06:14:06.466554218,wrong_item,5654.31
R000263,O002765,C04310,2025-01-19 16:27:42.533041107,not_as_described,1894.36
R000264,O002767,C08925,2025-01-24 01:51:47.958727942,changed_mind,2477.83
R000265,O002771,C06412,2025-01-24 08:31:19.643241655,not_as_described,263.81
R000266,O002786,C05134,2025-01-17 06:50:04.947714250,not_as_described,333.38
R000267,O002809,C03021,2025-01-24 00:41:55.878310230,size_fit,595.78
R000268,O002814,C06978,2025-01-24 10:46:01.787722633,wrong_item,998.61
R000269,O002816,C01153,2025-01-24 19:13:32.989655092,size_fit,951.34
R000270,O002819,C03160,2025-01-16 04:57:14.872621503,damaged,3011.41
R000271,O002823,C04579,2025-01-23 15:45:41.819701053,size_fit,1281.52
R000272,O002832,C07770,2025-02-02 00:00:00.000000000,not_as_described,6998.29
R000273,O002836,C04189,2025-01-19 16:04:27.472133334,size_fit,2127.26
R000274,O002847,C04468,2025-01-20 09:57:39.441534717,size_fit,378.85
R000275,O002856,C06199,2025-01-19 18:31:12.547825082,wrong_item,2100.38
R000276,O002860,C08735,2025-01-21 10:23:11.214778588,not_as_described,1745.83
R000277,O002862,C09501,2025-01-31 00:00:00.000000000,not_as_described,3566.19
R000278,O002887,C00937,2025-01-24 22:07:24.070352667,size_fit,1447.55
R000279,O002891,C03881,2025-01-22 07:11:01.812751720,size_fit,613.95
R000280,O002894,C03083,2025-01-17 05:00:18.918978872,not_as_described,393.02
R000281,O002896,C06095,2025-01-21 23:29:59.690712570,not_as_described,2036.94
R000282,O002904,C03170,2025-01-19 18:40:04.825044523,not_as_described,1053.04
R000283,O002907,C04165,2025-01-26 16:29:39.958696759,not_as_described,653.6
R000284,O002909,C04168,2025-01-21 00:59:41.688859369,changed_mind,13956.75
R000285,O002962,C06138,2025-01-21 17:15:34.809055099,size_fit,2781.75
R000286,O002964,C06030,2025-01-20 07:53:45.563814891,size_fit,3554.78
R000287,O002967,C08706,2025-02-02 00:00:00.000000000,size_fit,6478.02
R000288,O002972,C05358,2025-01-17 09:19:01.373782386,not_as_described,37085.9
R000289,O002978,C00872,2025-01-17 22:51:50.028165694,wrong_item,1560.27
R000290,O002979,C03129,2025-01-21 02:28:50.071040896,wrong_item,1007.83
R000291,O002983,C05445,2025-01-19 10:44:05.312589738,changed_mind,5025.23
R000292,O002989,C05739,2025-01-23 01:46:36.613917681,size_fit,2135.49
R000293,O003012,C01052,2025-01-23 19:17:22.038337759,not_as_described,11468.74
R000294,O003033,C05127,2025-01-19 05:11:50.823989167,size_fit,6872.8
R000295,O003043,C00687,2025-01-20 00:11:15.284710899,damaged,946.08
R000296,O003051,C09174,2025-01-18 12:01:45.109816932,damaged,1817.35
R000297,O003065,C09150,2025-01-21 20:56:57.434331292,size_fit,476.07
R000298,O003076,C08687,2025-01-23 12:37:29.354020406,size_fit,2636.94
R000299,O003093,C03620,2025-01-20 21:37:48.208437472,wrong_item,1706.96
R000300,O003095,C08981,2025-01-25 17:26:03.590075608,changed_mind,4176.27
R000301,O003103,C02939,2025-01-21 13:45:55.601394724,not_as_described,673.88
R000302,O003114,C03578,2025-01-20 13:27:22.442446296,size_fit,1422.57
R000303,O003115,C09239,2025-01-20 20:16:25.452465247,size_fit,3396.3
R000304,O003131,C02221,2025-01-18 12:18:30.503769350,not_as_described,1934.54
R000305,O003144,C04723,2025-01-26 06:13:24.110082433,size_fit,2586.78
R000306,O003158,C05984,2025-01-19 20:10:26.351555602,changed_mind,17889.57
R000307,O003160,C04740,2025-01-20 16:44:55.833688287,wrong_item,1510.17
R000308,O003174,C03738,2025-01-24 17:46:15.181516826,not_as_described,2542.34
R000309,O003177,C06504,2025-01-23 15:29:50.408263158,size_fit,2177.9
R000310,O003181,C03436,2025-01-19 07:23:26.392422156,not_as_described,3554.33
R000311,O003194,C09870,2025-01-18 02:21:36.866756224,damaged,4051.91
R000312,O003217,C02079,2025-01-24 08:41:30.165508341,wrong_item,4021.83
R000313,O003225,C00593,2025-01-24 16:09:41.470357968,wrong_item,13714.21
R000314,O003238,C00916,2025-02-01 17:05:23.004483612,size_fit,1571.18
R000315,O003240,C07712,2025-01-19 14:34:35.558951221,not_as_described,1877.81
R000316,O003243,C00124,2025-01-27 20:13:29.112325215,damaged,3313.04
R000317,O003263,C08637,2025-01-25 17:41:15.925872696,damaged,896.32
R000318,O003264,C01344,2025-01-24 14:19:22.561173271,size_fit,1021.47
R000319,O003268,C08543,2025-01-23 17:24:16.484400244,changed_mind,1883.64
R000320,O003273,C00097,2025-02-01 12:12:32.918914908,wrong_item,3118.22
R000321,O003278,C00610,2025-01-21 02:05:28.982341082,changed_mind,620.79
R000322,O003281,C02690,2025-01-22 18:38:11.799295033,changed_mind,3765.39
R000323,O003285,C02339,2025-01-21 22:08:19.820367848,damaged,7376.71
R000324,O003290,C08724,2025-01-20 03:21:19.615172922,size_fit,2406.62
R000325,O003297,C03543,2025-01-24 11:31:42.527687955,changed_mind,1387.73
R000326,O003304,C01486,2025-01-20 09:58:39.182310166,damaged,1101.84
R000327,O003316,C07808,2025-01-22 05:32:48.941831619,size_fit,514.55
R000328,O003317,C00024,2025-01-22 14:34:24.167954153,size_fit,2943.53
R000329,O003319,C01861,2025-01-22 21:04:33.237465340,wrong_item,3837.58
R000330,O003320,C02947,2025-01-24 23:41:27.089263626,not_as_described,3486.58
R000331,O003336,C07634,2025-01-22 01:49:46.340906782,wrong_item,1195.28
R000332,O003349,C00267,2025-01-23 21:33:27.669345213,not_as_described,668.37
R000333,O003350,C04049,2025-01-24 09:21:32.677256707,not_as_described,3126.04
R000334,O003354,C06287,2025-01-21 11:32:46.459296909,changed_mind,2250.42
R000335,O003355,C04463,2025-01-21 09:50:26.879367768,changed_mind,655.63
R000336,O003372,C01336,2025-01-21 23:56:44.409361891,size_fit,3034.59
R000337,O003373,C08265,2025-01-22 13:34:42.709415034,wrong_item,4454.08
R000338,O003380,C03160,2025-01-22 16:11:24.931312411,size_fit,2725.81
R000339,O003381,C09457,2025-01-22 03:30:17.354828044,damaged,593.11
R000340,O003383,C08552,2025-01-31 13:00:59.968139583,wrong_item,3522.13
R000341,O003385,C03977,2025-01-19 15:22:39.007337232,wrong_item,1791.07
R000342,O003397,C00103,2025-01-22 14:47:56.103236984,wrong_item,1618.27
R000343,O003398,C05910,2025-01-22 20:34:28.769656479,not_as_described,12147.54
R000344,O003399,C07887,2025-01-25 09:03:22.279367228,wrong_item,889.04
R000345,O003453,C03201,2025-01-21 20:02:20.000063378,not_as_described,3350.72
R000346,O003461,C08811,2025-01-21 20:32:30.829304508,wrong_item,2730.72
R000347,O003469,C01057,2025-01-25 08:52:03.048297931,size_fit,1415.65
R000348,O003478,C08738,2025-01-21 23:10:27.107407192,size_fit,1065.22
R000349,O003499,C06296,2025-01-26 19:46:03.014600286,changed_mind,349.02
R000350,O003504,C09681,2025-01-24 08:23:00.574468904,damaged,426.76
R000351,O003513,C05759,2025-01-22 22:52:46.968774394,not_as_described,2290.81
R000352,O003514,C05309,2025-01-22 22:51:39.745792857,wrong_item,1635.32
R000353,O003531,C09991,2025-01-22 16:08:12.735234880,size_fit,1440.88
R000354,O003540,C05487,2025-01-26 02:19:48.454765982,size_fit,1282.22
